Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
03-28-24,22.678755,22.862968,22.678755,22.045683,1661,21.755556,21.519113,21.466716,0.015511,-0.008267,-0.006178,TRUE,TRUE,0.052397,0.004542,8.235206,19.336691,60.54733,7.631504,0.081368,0.028502,-0.534286,7.218528,-2.392342,-19.192372,2.102375,3.941659,17.123472,0.796516,0.58163,0.201856,1.692803,-0.550155,-6.622815,0.198006,-562111,-74.629601,-124490979.130444,-13.042687,21.029345,-6.961214,-9.027363,76.025311,-0.075357,-1.681079,0.449283,0.58163,1.694321
04-01-24,22.607115,22.607115,22.463839,21.660822,4788,21.749142,21.531547,21.466376,0.015001,-0.008166,-0.006178,TRUE,TRUE,0.065171,0.00527,-11.538372,18.710129,49.156641,-4.804691,0.0658,0.010346,-2.444441,5.65361,-4.263393,-75.320239,-0.588764,3.929012,17.231112,0.801743,0.591341,0.20583,1.74673,-0.595602,-6.622815,0.621048,-566899,-73.935765,-124549437.50122,-13.794255,24.907203,-8.766357,-9.67913,74.631761,-0.077608,-1.724315,0.453685,0.591341,-0.512562
04-02-24,22.433136,22.433136,22.433136,21.631218,489,21.747662,21.540626,21.465248,0.014041,-0.008035,-0.006176,TRUE,TRUE,0.075377,0.006013,-4.1666,17.9603,48.402327,-9.347769,0.05049,-0.00397,-1.792103,5.050254,-3.849834,-79.63766,-0.136671,3.951766,17.323442,0.801652,0.580356,0.20301,1.771463,-0.685411,-6.622815,0.064824,-567388,-87.168722,-124549437.50122,-13.57207,25.881034,-7.719315,-9.76284,75.018337,-0.071939,-1.595705,0.450566,0.580356,-0.672175
04-03-24,22.443371,22.474072,22.361498,21.670689,6644,21.73878,21.550099,21.463332,0.01292,-0.007873,-0.006175,TRUE,TRUE,0.086767,0.006986,1.587253,16.871782,49.514684,-11.032646,0.041069,-0.010713,-2.573213,5.191097,-4.219784,-73.881284,-0.813012,3.943604,17.235348,0.80017,0.577657,0.199327,1.761864,-0.760332,-6.622815,0.941763,-560744,-59.52729,-124637623.455847,-13.980518,43.567507,-8.728114,-11.812562,75.088096,-0.070257,-1.557686,0.44646,0.577657,-0.39507
04-04-24,22.494539,22.627583,22.494539,21.818712,21888,21.730886,21.565099,21.462255,0.011574,-0.007654,-0.006172,TRUE,TRUE,0.102844,0.008037,17.460311,16.589444,53.558243,4.401603,0.045028,-0.005403,-0.315611,8.531145,-3.439384,-52.293621,-0.718456,3.970814,16.431533,0.802845,0.555001,0.181909,1.652587,-0.370145,-6.622815,2.76036,-538856,397.79395,-124881882.716266,-13.418306,58.672404,-5.859602,-9.103029,75.872044,-0.049774,-1.088114,0.426508,0.555001,0.534499
04-05-24,22.637817,22.66852,22.555944,21.769371,3713,21.722991,21.580296,21.461621,0.010157,-0.007383,-0.006168,TRUE,TRUE,0.118675,0.008793,11.701944,16.509064,52.061394,3.659067,0.043681,-0.005401,-0.67537,6.857413,-2.895477,-59.489509,-0.720073,3.966985,15.805754,0.799755,0.527271,0.171344,1.576531,-0.252575,-6.622815,0.462841,-542569,99.94615,-124937481.717519,-13.391275,64.474752,-6.960647,-11.772438,74.961394,-0.049277,-1.074493,0.413937,0.527271,0.293437
04-08-24,22.463839,22.463839,22.341028,21.542402,18761,21.704735,21.589375,21.459162,0.008675,-0.007073,-0.006163,FALSE,TRUE,0.130213,0.009212,8.247552,15.394808,45.73007,-3.784614,0.024022,-0.020048,-2.107615,5.691678,-4.869659,-153.010996,-1.666668,3.991091,15.67019,0.810957,0.538831,0.172413,1.488366,-0.618816,-6.622815,2.24563,-561330,54.844833,-125200245.274207,-13.552057,55.566902,-7.73376,-12.245621,74.179842,-0.072669,-1.563665,0.415227,0.538831,-1.035933
04-09-24,22.504774,22.535477,22.494539,21.690424,7426,21.694373,21.602796,21.457098,0.007276,-0.006736,-0.006158,TRUE,TRUE,0.145697,0.010221,2.732145,14.579354,50.000652,-3.557591,0.020153,-0.019133,-0.946381,6.365976,-4.631011,-124.651102,-0.946381,3.94219,14.998103,0.807228,0.54229,0.177022,1.469739,-0.693351,-6.622815,0.973091,-553904,-66.072734,-125499402.391758,-14.639314,55.880985,-7.537087,-11.568252,74.359526,-0.078714,-1.70632,0.420739,0.54229,-0.026331
04-10-24,22.351263,22.351263,22.187517,21.394377,2541,21.678584,21.605559,21.454688,0.005701,-0.006382,-0.006151,FALSE,FALSE,0.150871,0.010226,-15.534167,14.610835,42.75418,-9.307215,-0.006724,-0.036808,-1.722577,3.053321,-4.568177,-117.423778,-1.454555,3.908515,16.418128,0.805153,0.585084,0.213112,1.618063,-0.671675,-6.622815,0.336196,-556445,-36.570145,-125526559.214565,-14.651793,52.966553,-7.429556,-12.355305,73.888716,-0.072289,-1.606715,0.46164,0.585084,-1.731056
04-11-24,22.238688,22.238688,22.095409,21.364773,6156,21.664768,21.602204,21.450947,0.004204,-0.006019,-0.006144,FALSE,FALSE,0.151257,0.009662,-13.43302,14.978417,42.097162,-3.632909,-0.030066,-0.04812,-1.947466,2.030296,-5.241703,-95.189627,-1.276793,3.927125,17.850374,0.782898,0.553966,0.202144,1.745585,-0.245084,-6.622815,0.952396,-562601,-78.04878,-125595499.383258,-14.650674,50.447831,-7.546979,-11.832603,74.138469,-0.047353,-1.074937,0.449604,0.553966,-1.680611
