Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
01-04-24,18.34,18.370001,18.34,17.172428,17000,17.143914,16.895591,16.574113,0.01838,0.008875,0.001979,TRUE,TRUE,0.321479,0.015164,43.016675,40.559603,61.99391,-17.93145,0.095857,-0.013573,4.904089,4.724326,5.925477,-423.028564,1.192408,7.201972,9.119686,0.231313,0.093065,0.097552,0.507362,4.082913,-1.002809,0.417434,8858800,-16.666667,-2302474721.429149,-64.418781,57.033212,-6.551023,-0.716363,97.311494,0.060072,4.339726,0.312333,0.093065,0.312663
01-05-24,18.33,18.370001,18.309999,17.172428,22000,17.152165,16.908678,16.577628,0.018089,0.009185,0.00198,TRUE,TRUE,0.33105,0.015187,15.215802,38.59227,61.99391,-4.522989,0.08789,-0.017232,4.666741,4.665609,5.807242,-669.159308,0.970249,7.13389,8.548305,0.224378,0.080733,0.074454,0.480963,3.609221,-1.002809,0.590287,8858800,-75.850714,-2303330921.314711,-64.129097,51.063525,-6.947826,-1.623984,97.038225,0.055173,4.057386,0.272862,0.080733,0.237043
01-08-24,18.33,18.379999,18.33,17.172428,22000,17.159482,16.922099,16.581188,0.01765,0.009485,0.00198,TRUE,TRUE,0.340911,0.015157,6.047327,36.930538,61.99391,-4.522989,0.080647,-0.01958,4.430439,5.01899,5.984644,-669.159308,0.859558,7.107407,8.022395,0.223972,0.0832,0.078645,0.472247,3.682198,-1.002809,0.608407,8858800,-50.226244,-2304371600.036005,-62.611039,48.941821,-7.224965,-3.599473,96.436438,0.056102,4.142581,0.280437,0.0832,0.16137
01-09-24,18.35,18.360001,18.34,17.181787,17900,17.164934,16.934776,16.584215,0.017115,0.009778,0.001981,TRUE,TRUE,0.350561,0.015073,2.54471,35.3875,63.039863,1.045954,0.074799,-0.020342,4.664554,5.253918,5.629113,-663.653805,0.638618,7.067925,7.768484,0.222727,0.079767,0.072472,0.469119,3.901232,-1.002809,0.511356,8876700,-56.341463,-2306462653.249814,-62.970006,43.926065,-5.977577,-2.787736,96.939887,0.0591,4.373732,0.269206,0.079767,0.216949
01-10-24,18.360001,18.379999,18.34,17.172428,43000,17.172251,16.946522,16.587196,0.016484,0.010062,0.001982,TRUE,TRUE,0.359326,0.014935,6.515684,34.3058,61.225289,-0.768621,0.068619,-0.021218,4.078053,4.959918,5.571574,-669.159308,0.859558,7.060815,7.047522,0.22313,0.079498,0.071358,0.460179,3.82959,-1.002809,1.189159,8833700,116.080402,-2309015995.341273,-61.149055,59.544341,-5.099815,-3.398019,96.7966,0.057751,4.263575,0.267129,0.079498,0.002509
01-11-24,18.379999,18.389999,18.34,17.219242,14400,17.18331,16.959762,16.590411,0.015801,0.010337,0.001983,TRUE,TRUE,0.369352,0.014771,16.315281,33.474071,66.430293,4.436383,0.066729,-0.018486,4.420507,5.364572,5.859374,-641.621694,1.301127,7.026826,5.794442,0.221223,0.083776,0.079938,0.442031,4.45816,-1.002809,0.417997,8848100,-70.37037,-2309675961.832461,-60.903069,55.249405,-3.404705,-2.338508,97.424354,0.067153,5.023724,0.282732,0.083776,0.620119
01-12-24,18.4,18.42,18.389999,17.219242,44200,17.194834,16.972817,16.593991,0.014995,0.010601,0.001985,TRUE,TRUE,0.378826,0.014564,13.301247,33.194543,66.430293,3.390429,0.064488,-0.016582,4.538168,4.892079,5.565497,-641.621694,1.356742,7.004505,3.596367,0.221223,0.084256,0.080735,0.428108,4.45816,-1.002809,1.307306,8848100,-22.45614,-2313169914.365998,-62.033441,51.478563,-4.249811,-2.055318,97.211757,0.0673,5.036922,0.284138,0.084256,0.678679
01-15-24,18.360001,18.43,18.360001,17.247328,13500,17.200763,16.98513,16.597893,0.014144,0.010857,0.001986,TRUE,TRUE,0.387236,0.014343,13.327399,32.123902,69.297901,8.072612,0.064238,-0.013465,4.708677,4.828109,5.444942,-625.100697,0.692207,6.958115,3.422936,0.220776,0.083664,0.075392,0.419253,4.730318,-1.002809,0.41234,8861600,-61.318052,-2313612590.033573,-63.705314,50.887507,-4.678837,-1.167793,97.097925,0.068925,5.154021,0.274577,0.083664,1.360386
01-16-24,18.389999,18.4,18.34,17.191151,33700,17.202482,16.995761,16.601561,0.013188,0.011101,0.001988,TRUE,TRUE,0.3942,0.013985,-13.576708,30.629877,58.528352,-7.901941,0.058829,-0.0151,4.603348,4.603688,5.043321,-658.146058,0.200409,6.933257,3.273417,0.226742,0.090324,0.082923,0.433752,4.225796,-1.002809,1.041087,8827900,-18.004866,-2314936842.444801,-61.2805,51.692876,-3.327683,-0.863809,97.23503,0.062321,4.556196,0.287964,0.090324,-0.346157
01-17-24,18.33,18.33,18.290001,17.134968,21000,17.200459,17.004152,16.604902,0.012131,0.011328,0.001991,TRUE,TRUE,0.39925,0.01357,-30.79216,28.73349,50.136458,-16.293835,0.049438,-0.019592,4.261491,4.26183,4.642122,-721.896383,-0.235606,6.910257,3.561762,0.230953,0.116654,0.132602,0.482163,3.450739,-1.002809,0.653188,8806900,-17.322835,-2316170657.284342,-61.180323,46.235334,-2.06502,-0.290913,98.01929,0.047989,3.541684,0.364145,0.116654,-1.838717
