Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
12-08-23,13.59,13.61,13.56,12.756125,290700,12.53117,12.260466,12.401755,0.020263,-0.000428,0.000418,TRUE,TRUE,-0.14129,0.012228,54.846841,37.538947,70.967018,-4.947057,0.146206,0.021374,3.896021,2.728868,0.725574,-107.527672,4.208107,6.981644,16.773648,0.506182,0.249263,0.168148,1.996335,1.540061,-5.710922,1.245315,-493800,97.620666,-3789385522.644504,-31.680153,70.739521,1.657748,-1.543975,91.913167,0.063819,2.194416,0.410058,0.249263,1.341124
12-11-23,13.56,13.58,13.52,12.709229,162400,12.553646,12.274688,12.403849,0.020534,0.000043,0.000401,TRUE,TRUE,-0.12916,0.013037,43.284235,37.379041,65.969887,-11.539735,0.140055,0.012179,3.514063,2.275101,0.571548,-117.949006,3.666589,6.968776,15.935558,0.507872,0.248716,0.1663,1.849253,1.462075,-5.710922,0.68451,-656200,88.617886,-3793936935.328485,-30.605168,65.569563,1.311495,-2.027918,91.427638,0.061485,2.104807,0.407798,0.248716,0.976331
12-12-23,13.56,13.59,13.55,12.746746,293500,12.570984,12.290407,12.406038,0.020723,0.000528,0.000384,TRUE,TRUE,-0.115631,0.013866,45.718629,37.30611,67.916241,-9.593381,0.136633,0.007006,3.898531,3.268017,1.159128,-109.611982,2.796445,6.930423,16.061634,0.508414,0.246046,0.161418,1.690177,1.653733,-5.710922,1.212735,-362700,48.082745,-3806018200.891273,-30.737775,66.189007,2.489225,-0.254174,92.023865,0.066647,2.272427,0.401769,0.246046,1.0943
12-13-23,13.62,13.76,13.6,12.887438,363400,12.598629,12.31155,12.408701,0.020948,0.001029,0.000368,TRUE,TRUE,-0.097152,0.014756,60.968313,38.28555,73.936567,2.969549,0.143619,0.011193,4.965533,3.941042,2.794105,-67.800315,4.482643,6.937899,16.529073,0.515839,0.256785,0.177068,1.9393,2.547624,-5.710922,1.438581,700,139.867987,-3809618419.411646,-28.878517,74.506669,3.27429,-1.179592,91.383956,0.083244,2.823953,0.420795,0.256785,1.747276
12-14-23,13.8,13.87,13.79,13.009374,281400,12.630034,12.333267,12.412249,0.021337,0.001553,0.000351,TRUE,TRUE,-0.078983,0.015773,68.075608,39.678957,77.820973,11.851086,0.157182,0.019805,6.200573,4.457452,3.094805,-50.987137,5.072898,6.933953,18.076541,0.526162,0.266825,0.185665,2.471776,3.050531,-5.710922,1.088125,282100,74.349442,-3815391530.648324,-28.246592,79.821349,3.930012,-1.292465,91.57928,0.097717,3.266994,0.430888,0.266825,2.09852
12-15-23,13.89,13.9,13.83,13.037511,402400,12.66191,12.35536,12.416213,0.02186,0.002097,0.000335,TRUE,TRUE,-0.060853,0.016693,65.908797,41.090526,78.613066,10.696825,0.168262,0.024708,6.511323,4.683377,3.169327,-43.748262,5.141325,6.886098,19.380414,0.520793,0.251515,0.156156,2.418908,3.425964,-5.710922,1.48498,684500,159.612903,-3824905330.212357,-27.482788,81.343432,4.945975,-0.008032,92.97992,0.106508,3.534169,0.395166,0.251515,1.938044
12-18-23,13.86,13.86,13.81,12.981235,157100,12.689102,12.376141,12.419208,0.022412,0.002654,0.000320,TRUE,TRUE,-0.043067,0.017531,52.808884,42.090781,72.997773,-0.938794,0.170536,0.021585,6.78354,4.697541,2.650264,-73.351987,4.372655,6.88623,19.873437,0.525198,0.245307,0.146626,2.196805,3.024312,-5.710922,0.586096,527400,-27.201112,-3830270474.402484,-27.653888,76.034278,3.367869,-0.805741,92.078325,0.091941,3.008284,0.382918,0.245307,1.469964
12-19-23,13.85,13.88,13.85,12.999996,203300,12.717232,12.39506,12.422389,0.02298,0.003227,0.000305,TRUE,TRUE,-0.027329,0.018209,50.588106,43.111082,73.672938,-4.148035,0.17187,0.018336,7.102133,4.382157,2.872463,-69.812054,4.523504,6.875832,20.103438,0.51437,0.242023,0.151906,2.003802,3.518412,-5.710922,0.764631,730700,-17.5588,-3841994267.151316,-28.474397,75.309557,2.634549,-3.152176,91.282902,0.10278,3.444376,0.389751,0.242023,1.406544
12-20-23,13.88,13.93,13.88,13.06565,254500,12.748178,12.414174,12.425806,0.023657,0.003813,0.000290,TRUE,TRUE,-0.011632,0.018926,59.550385,44.280733,75.940077,-2.672988,0.176195,0.018128,8.141367,5.143328,4.215579,-54.348156,4.972457,6.899603,20.480523,0.515886,0.224399,0.129554,1.933128,3.806797,-5.710922,0.953255,985200,9.462366,-3850538819.832084,-28.689845,83.556528,2.585686,-1.385651,92.795074,0.114337,3.771054,0.359937,0.224399,1.550117
12-21-23,13.96,13.96,13.86,13.009374,277600,12.777712,12.433653,12.428713,0.024322,0.004405,0.000275,TRUE,TRUE,0.00494,0.019351,42.168577,45.494315,70.347941,-2.649832,0.173086,0.012015,7.344301,5.316877,4.447367,-98.046956,4.756411,6.88162,19.724068,0.509656,0.199902,0.105364,1.769593,3.991915,-5.710922,1.041886,707600,-3.744799,-3855539077.323167,-27.328525,75.244312,0.773099,-2.742411,91.63709,0.116877,3.848821,0.324598,0.199902,1.174512
