Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
04-12-24,12.366667,12.366667,12.266667,11.872589,4200,11.925267,11.775695,11.130881,0.008898,0.009999,0.003176,TRUE,TRUE,0.644814,0.011046,-23.827424,29.644616,49.422495,-10.918874,0.036449,-0.019411,4.043539,11.825314,11.335402,-187.656278,0.348838,3.703539,5.805777,0.378968,0.489367,0.658898,0.711602,2.903025,-2.190232,0.311804,-285000,-46.153846,-234616107.533422,-34.510165,47.328477,-0.383062,-1.778276,95.122918,0.038126,2.734469,0.811726,0.489367,-0.90733
04-15-24,12.35,12.35,12.166667,11.785481,9300,11.923296,11.781,11.136615,0.008051,0.01001,0.003185,TRUE,TRUE,0.644385,0.010488,-30.580964,28.099938,41.573179,-9.943735,0.023149,-0.026169,3.019594,11.205174,10.388305,-132.972045,-0.333357,3.726317,6.216796,0.392169,0.502208,0.663841,0.864515,2.099432,-2.190232,0.913108,-294300,-87.6,-234664080.524854,-19.71253,52.172952,-0.394319,-1.916735,95.082938,0.027624,1.928594,0.814764,0.502208,-2.216805
04-16-24,12.1,12.18,12.1,11.753218,10500,11.919872,11.78534,11.141888,0.00709,0.01001,0.003194,FALSE,TRUE,0.643452,0.009905,-33.333333,27.460715,39.0964,-15.659462,0.009891,-0.031541,3.550409,10.90074,10.021284,-98.146269,-0.579238,3.682482,6.951006,0.39357,0.506543,0.667896,1.029749,1.717488,-2.190232,0.997151,-304800,191.666667,-234765611.066304,-18.56974,50.345766,0.218598,-0.626348,95.342526,0.028979,2.02825,0.817249,0.506543,-2.397555
04-17-24,12.166667,12.166667,12.11,11.730634,8700,11.915319,11.789869,11.146952,0.006026,0.009997,0.003203,FALSE,TRUE,0.642917,0.009328,-53.374173,26.867152,37.416043,-12.006452,-0.002411,-0.035074,3.938839,10.421951,10.166697,-104.537971,-0.770276,3.657309,7.865942,0.393127,0.507446,0.671591,1.207969,1.361976,-2.363051,0.798898,-313500,480,-234890797.360481,-18.40275,46.879567,-0.663458,-0.798022,95.072436,0.019037,1.341392,0.819507,0.507446,-2.347909
04-18-24,12.166667,12.166667,12.093333,11.704823,4200,11.904184,11.792727,11.151396,0.004885,0.009969,0.003212,FALSE,TRUE,0.641331,0.008712,-56.470558,26.511752,35.536237,-6.036942,-0.01408,-0.037395,3.386952,10.978124,9.439354,-107.919478,-1.867174,3.663757,9.154752,0.394566,0.506658,0.661569,1.131713,1.133959,-2.577876,0.38674,-317700,-12.5,-234939499.139507,-18.477747,44.212346,-1.172754,-1.903906,94.632879,0.015181,1.049919,0.813369,0.506658,-2.177667
04-19-24,12.14,12.14,12.066667,11.679015,7800,11.889994,11.795582,11.155696,0.003609,0.009929,0.003222,FALSE,TRUE,0.639886,0.008091,-55.421487,26.489642,33.712355,-5.384046,-0.025121,-0.038749,2.867589,11.372913,9.165925,-116.295544,-2.372306,3.669644,10.323067,0.394771,0.494127,0.636483,1.208367,0.79712,-2.792685,0.714286,-325500,18.181818,-235029762.716286,-17.811346,51.526594,-1.537767,-2.84939,93.85437,0.003303,0.220263,0.797799,0.494127,-2.043759
04-22-24,12.106667,12.126667,12.066667,11.72418,26100,11.876619,11.79979,11.160443,0.002236,0.009878,0.003231,FALSE,TRUE,0.639347,0.007542,-36.250654,26.469111,39.558725,2.142682,-0.029882,-0.034808,2.916535,12.487431,9.491514,-102.746012,-2.230666,3.710429,10.663573,0.397359,0.498038,0.639004,1.313567,1.012074,-2.792685,2.233633,-299400,141.666667,-235353823.784394,-14.808606,64.401563,-1.931158,-3.560728,93.849168,0.00814,0.541271,0.799377,0.498038,-1.429529
04-23-24,12.076667,12.183333,12.076667,11.775804,9300,11.86775,11.804324,11.166018,0.000868,0.00982,0.003241,FALSE,TRUE,0.638306,0.007067,-26.743808,25.37078,45.477818,9.941581,-0.029154,-0.027264,3.253415,12.982731,9.49114,-87.258994,-1.484,3.716682,10.730673,0.400679,0.500722,0.643555,1.374062,1.275942,-2.792685,0.851648,-290100,-62.195122,-235415586.866434,-14.030373,64.789428,-1.796186,-4.159831,93.671162,0.010084,0.669175,0.802219,0.500722,-0.856855
04-24-24,12.21,12.21,12.15,11.775804,7800,11.859362,11.808666,11.171513,-0.000464,0.009752,0.003251,FALSE,TRUE,0.637153,0.006639,-21.738556,23.896967,45.477818,11.765463,-0.028251,-0.021089,2.963855,12.707,9.427128,-89.957527,-1.404629,3.691453,10.762477,0.398927,0.489477,0.629423,1.425399,1.058539,-2.792685,0.704607,-290100,62.5,-235520677.159686,-13.420317,64.419784,-1.266723,-4.032808,94.319106,0.015234,0.995802,0.793362,0.489477,-0.776384
04-25-24,12.133333,12.133333,12.046667,11.727408,16200,11.845166,11.814349,11.176736,-0.001757,0.009674,0.003262,FALSE,TRUE,0.637614,0.006143,-43.037655,23.83975,41.101541,1.542816,-0.031082,-0.019136,2.483225,12.656202,9.168894,-92.987992,-2.363678,3.635374,10.522399,0.402967,0.489727,0.617395,1.516704,0.686439,-2.792685,1.37931,-306300,500,-235656231.563489,-12.32111,49.537591,-1.423197,-4.280349,93.903248,0.006804,0.433348,0.785745,0.489727,-1.119116
04-26-24,12.213333,12.213333,12.19,11.798385,5100,11.834358,11.819335,11.182139,-0.00294,0.009585,0.003272,FALSE,TRUE,0.637197,0.005669,-25.139954,22.569434,48.872204,3.394387,-0.027284,-0.01227,3.074599,13.442224,10.281694,-72.31529,-1.799143,3.649456,9.774653,0.405184,0.496951,0.605011,1.558538,1.350994,-2.792685,0.433121,-301200,13.333333,-235832521.639919,-12.673365,48.048243,-1.173316,-4.44086,94.103745,0.012332,0.768728,0.777824,0.496951,-0.36803
04-29-24,12.24,12.24,12.206667,11.827422,6300,11.826938,11.824068,11.187259,-0.004036,0.009489,0.003284,TRUE,TRUE,0.636809,0.005338,-22.404246,21.031225,51.680893,6.203075,-0.021681,-0.005334,2.982006,13.826088,9.971088,-68.514114,-1.239213,3.637587,9.189997,0.399863,0.492602,0.608962,1.294779,1.142721,-2.792685,0.596591,-294900,-79.411765,-235982178.363425,-13.447592,48.708587,-0.781896,-5.077866,94.278868,0.009025,0.572949,0.78036,0.492602,0.005268
04-30-24,12.216667,12.216667,12.156667,11.766124,8100,11.819679,11.827447,11.191788,-0.005061,0.009382,0.003295,FALSE,TRUE,0.635658,0.004916,-21.110722,20.219676,45.943139,4.841598,-0.021934,-0.00447,2.305458,12.751953,8.828185,-87.669873,-1.218856,3.670062,9.060995,0.406187,0.491026,0.623491,1.338566,0.696672,-2.792685,0.788321,-303000,-41.304348,-236095724.23166,-13.306662,50.975853,-0.120944,-4.027764,94.898001,0.007227,0.460276,0.789614,0.491026,-0.591052
05-01-24,12.14,12.213333,12.136667,11.82097,5100,11.814517,11.832051,11.196497,-0.005934,0.009266,0.003307,FALSE,TRUE,0.635554,0.004517,-16.577513,19.699815,51.16714,2.294936,-0.017508,-0.000034,3.214052,13.312125,9.81474,-70.530541,-0.865802,3.664673,8.721877,0.407865,0.498263,0.610282,0.98377,1.176524,-2.792685,0.502216,-297900,-32,-236142826.179664,-13.166198,49.685121,-0.230341,-3.381068,95.311512,0.011008,0.686294,0.781205,0.498263,0.073982
