Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
06-25-24,29.25,29.34,29.190001,28.136492,161800,28.201748,28.319783,26.768472,-0.023547,0.014192,0.008914,FALSE,TRUE,1.551311,-0.00108,-21.243203,16.345363,47.930862,9.370111,-0.13255,-0.013164,0.205062,6.067736,15.854192,-75.619545,-1.906991,4.441479,28.521116,0.616468,0.972023,0.980632,2.041305,-0.855365,-4.047774,1.197543,-2624700,185.361552,-1128336288.267111,-11.56875,32.934307,0.739159,1.036636,101.425115,0.010196,1.8866,0.990269,0.972023,-0.228799
06-26-24,29.209999,29.33,29.16,28.136492,89000,28.198869,28.326692,26.782218,-0.026436,0.013349,0.009015,FALSE,TRUE,1.544474,-0.0014,-27.86866,15.627048,47.930862,9.575528,-0.11779,0.001277,-0.71114,5.349275,14.931914,-85.29188,-0.204224,4.41189,28.558309,0.613572,0.976194,0.981506,1.553607,-0.655865,-4.047774,0.664253,-2624700,-20.179372,-1129496960.943793,-11.707915,27.866943,0.768276,1.071671,101.425115,0.007585,1.443033,0.99071,0.976194,-0.21842
06-27-24,29.139999,29.299999,29.1,28.329937,58000,28.195586,28.336511,26.796604,-0.028433,0.012526,0.009116,FALSE,TRUE,1.539907,-0.00131,-2.733091,15.198269,53.258775,3.634175,-0.089452,0.023692,-0.399514,6.33895,14.764992,-63.537039,-0.231215,4.396745,28.357305,0.619748,0.976682,0.982086,1.556243,-0.428131,-4.047774,0.430076,-2566700,43.209877,-1130001600.27164,-11.689175,30.495556,0.656606,1.036017,101.444504,0.006806,1.302555,0.991002,0.976682,0.473778
06-28-24,29.360001,29.459999,29.15,28.271902,109200,28.175487,28.344593,26.810372,-0.029601,0.011718,0.009217,FALSE,TRUE,1.534221,-0.001427,-10.781249,14.151347,51.554425,3.623563,-0.07086,0.033828,-0.670583,6.045303,14.054143,-70.364686,-1.401927,4.3594,26.125512,0.619556,0.977217,0.982261,1.194322,-0.414654,-4.047774,0.796993,-2675900,65.204236,-1130729435.213096,-11.641929,34.802958,0.771687,1.256836,101.543072,0.006437,1.238405,0.991091,0.977217,0.369046
07-02-24,29.190001,29.34,29.15,28.378298,232400,28.169824,28.352308,26.822706,-0.02993,0.010931,0.009318,TRUE,TRUE,1.529602,-0.000928,10.662319,13.179205,54.433374,6.502512,-0.046998,0.046151,0.176074,6.864214,13.881251,-57.84752,-0.397529,4.335825,25.520056,0.609888,0.98073,0.981605,1.327195,-0.655018,-4.047774,1.59577,-2443500,287.333333,-1132849656.236035,-11.546253,32.504085,0.672027,1.462351,101.617676,0.008648,1.65972,0.99076,0.98073,0.816903
07-03-24,29.469999,29.75,29.450001,28.74584,58800,28.191175,28.365646,26.836597,-0.029465,0.010186,0.009419,TRUE,TRUE,1.529049,0.000201,23.997375,13.811335,62.683312,9.424538,0.001552,0.075761,1.30192,8.442687,13.901413,-14.109191,1.507892,4.246833,28.45029,0.632711,0.976484,0.982723,2.448158,-0.103848,-4.047774,0.40685,-2384700,-27.407407,-1133184487.92862,-11.500543,26.968563,0.506807,1.443734,101.524559,0.007007,1.337443,0.991324,0.976484,1.949595
07-04-24,29.709999,29.799999,29.709999,28.774858,16100,28.203421,28.375727,26.851335,-0.028255,0.009483,0.00952,TRUE,TRUE,1.524391,0.001595,51.072997,14.551974,63.24906,11.694635,0.041887,0.092877,1.644798,8.318705,13.679061,-10.230379,0.858462,4.223533,30.442542,0.629967,0.975798,0.981971,2.433211,-0.259342,-4.047774,0.114452,-2368600,-82.725322,-1133535159.890643,-11.434585,28.890206,0.518407,1.585877,101.657297,0.008559,1.606286,0.990944,0.975798,1.877103
07-05-24,29.84,29.85,29.5,28.533052,38200,28.198778,28.384234,26.866596,-0.026455,0.008805,0.009621,TRUE,TRUE,1.517637,0.002231,36.378801,14.255586,55.674542,1.241168,0.053722,0.083769,-0.123488,7.063091,13.268343,-34.382505,-0.324369,4.251237,29.828934,0.632203,0.979506,0.981175,2.309609,-0.30239,-4.047774,0.279812,-2406800,-68.481848,-1133784430.498432,-11.283833,30.446638,0.452935,1.390466,101.528466,0.006462,1.1827,0.990543,0.979506,1.120639
07-08-24,29.5,29.58,29.42,28.61043,38200,28.210479,28.394096,26.882244,-0.024141,0.008191,0.009722,TRUE,TRUE,1.511852,0.002814,39.910716,13.637046,57.431341,-5.251971,0.068554,0.078881,0.113748,6.667474,15.28921,-30.481013,0.824727,4.210461,30.998494,0.631191,0.981987,0.980862,2.16948,-0.033952,-4.047774,0.281804,-2368600,-33.565217,-1134209200.691313,-11.223064,41.62472,0.541097,1.492721,101.651381,0.006937,1.261203,0.990385,0.981987,1.290226
07-09-24,29.540001,29.559999,29.459999,28.504034,57800,28.213022,28.399528,26.900028,-0.021362,0.007617,0.009823,TRUE,TRUE,1.4995,0.002739,34.016616,13.062688,54.247552,-9.001508,0.070907,0.064987,-0.725253,6.687401,14.730647,-41.680553,0.178755,4.144923,31.228087,0.619728,0.979124,0.980101,2.018682,0.225066,-4.047774,0.427942,-2426400,-14.497041,-1135372092.064408,-11.393493,35.397108,0.409169,1.305884,101.546976,0.006897,1.252321,0.99,0.979124,0.931891
07-10-24,29.65,29.9,29.610001,28.919941,38000,28.248356,28.412318,26.919938,-0.017814,0.007086,0.009924,TRUE,TRUE,1.49238,0.002982,54.717531,13.720713,62.904635,7.230094,0.105119,0.07936,1.469369,8.166997,16.448577,-0.006033,2.504774,4.12813,35.00099,0.638972,0.976715,0.981363,2.192684,1.119215,-4.047774,0.285082,-2388400,-48.228883,-1135590935.904638,-11.286363,41.280632,0.375344,1.303558,101.505038,0.007505,1.365839,0.990638,0.976715,1.918759
07-11-24,30.030001,30.190001,29.959999,29.171419,65900,28.291466,28.437047,26.941059,-0.013401,0.006606,0.010025,TRUE,TRUE,1.495988,0.00337,57.970428,15.106918,66.973796,9.542455,0.150787,0.100022,2.732211,9.419309,17.064023,19.79677,3.045615,4.066269,40.644821,0.643823,0.982982,0.980774,2.686001,1.651776,-4.047774,0.528935,-2322500,-72.541667,-1136108723.648756,-11.292008,36.666716,0.434905,1.393852,101.666038,0.008541,1.518808,0.99034,0.982982,2.164983
07-12-24,30.23,30.43,30.209999,29.335848,62600,28.358631,28.465065,26.964453,-0.00814,0.006187,0.010128,TRUE,TRUE,1.500612,0.004033,61.405454,16.922736,69.341857,15.094305,0.197965,0.11776,4.333808,9.683512,16.671997,18.346841,4.798777,4.059934,46.16881,0.64672,0.982513,0.981156,2.873018,1.804343,-4.047774,0.511751,-2259900,-41.983318,-1136668792.406559,-11.375135,45.334079,0.506937,1.260639,101.642056,0.006971,1.246564,0.990533,0.982513,2.116617
07-15-24,30.379999,30.51,30.299999,29.422897,48500,28.433987,28.492712,26.989037,-0.00215,0.005835,0.010231,TRUE,TRUE,1.503675,0.004804,56.287969,18.771166,70.54593,7.641295,0.239616,0.127529,5.398797,9.657632,15.768269,22.900496,5.398797,3.954109,50.642917,0.647272,0.982835,0.981897,2.931941,1.881823,-4.047774,0.413505,-2211400,-67.493298,-1137122428.036571,-11.367233,42.919935,0.482188,1.159261,101.58774,0.008415,1.53389,0.990907,0.982835,1.952713
