Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
12-29-23,13.4,13.44,13.4,12.638822,8900,12.53944,12.35112,12.16261,0.01344,0.005387,0.001374,TRUE,TRUE,0.18851,0.011168,36.117371,47.157272,72.566945,-1.958767,0.083705,-0.000398,5.016024,4.658809,6.278967,-305.58949,1.800479,6.541916,7.88138,0.237336,0.073084,0.057054,0.71423,4.935582,-1.61042,0.21779,-973900,-80.567686,-1645966661.232267,-72.424754,62.356117,-3.459015,-3.077929,97.248545,0.075998,5.23473,0.238861,0.073084,1.260961
01-02-24,13.39,13.4,13.37,12.591734,53500,12.549202,12.362251,12.16469,0.013557,0.00565,0.001373,TRUE,TRUE,0.197561,0.011178,32.600384,46.452719,63.111199,-7.150757,0.077948,-0.004924,4.624773,4.590445,5.801795,-329.133348,1.574876,6.549578,7.19718,0.24137,0.078964,0.064784,0.628533,4.017534,-1.61042,1.284977,-1027400,40.419948,-1648796001.172503,-70.761071,64.320269,-3.763895,-2.27746,97.15933,0.062746,4.267219,0.254528,0.078964,0.590954
01-03-24,13.38,13.39,13.38,12.601151,19300,12.555678,12.373012,12.167001,0.013545,0.005907,0.001372,TRUE,TRUE,0.20601,0.011205,45.099911,45.798491,64.118137,-8.448809,0.073301,-0.007657,5.028944,4.186711,6.043534,-346.763774,1.038482,6.53896,7.043555,0.241151,0.078241,0.063574,0.480355,3.932875,-1.61042,0.480997,-1008100,-61.010101,-1651821591.826709,-76.009324,70.174463,-5.190799,-1.296944,97.353957,0.062464,4.249138,0.252138,0.078241,0.645595
01-04-24,13.37,13.38,13.35,12.572897,40100,12.562619,12.38246,12.169125,0.013411,0.006157,0.001371,TRUE,TRUE,0.213334,0.011123,28.954954,44.184407,58.921234,-13.645711,0.06657,-0.01151,4.956797,4.273215,5.643517,-415.942622,1.116508,6.520881,6.440272,0.242435,0.079772,0.06525,0.35382,3.836555,-1.61042,1.004383,-1048200,-9.070295,-1653939166.805251,-74.591092,62.829607,-6.498315,-1.167474,96.922925,0.061355,4.155339,0.25544,0.079772,0.159588
01-05-24,13.35,13.39,13.35,12.572897,33200,12.568152,12.391721,12.171524,0.013147,0.006401,0.00137,TRUE,TRUE,0.220196,0.011105,2.871757,42.880562,58.921234,-4.189964,0.060538,-0.014033,4.549362,4.433979,5.48172,-777.107871,0.887898,6.469033,5.992318,0.237089,0.068405,0.047874,0.347298,3.403218,-1.61042,0.868996,-1048200,-50.887574,-1655262359.719444,-65.298958,62.668411,-7.065204,-1.855614,96.650746,0.056775,3.895817,0.218802,0.068405,0.07919
01-08-24,13.35,13.38,13.35,12.601151,40100,12.574158,12.401547,12.173927,0.012789,0.006638,0.001369,TRUE,TRUE,0.22762,0.011106,2.902526,41.669849,62.450893,-1.667244,0.057377,-0.013756,4.621853,4.74944,5.718756,-748.854154,0.962429,6.43336,5.666252,0.237791,0.072757,0.053355,0.343318,3.643195,-1.61042,1.040883,-1008100,18.991098,-1657304402.854517,-63.824931,61.88916,-7.033551,-3.869024,96.267208,0.060195,4.130174,0.230986,0.072757,0.476378
01-09-24,13.39,13.39,13.37,12.601151,32700,12.578755,12.411187,12.176009,0.012356,0.006871,0.001368,TRUE,TRUE,0.235178,0.011031,2.902526,40.755042,62.450893,3.529658,0.054246,-0.01351,4.784304,4.911321,5.395961,-748.854154,0.735032,6.406476,5.481504,0.234659,0.067307,0.046485,0.339291,3.953209,-1.61042,0.862455,-1008100,-27.171492,-1659851182.761059,-65.029475,63.560794,-5.857828,-3.130333,96.717059,0.064599,4.4753,0.215604,0.067307,0.408564
01-10-24,13.38,13.38,13.37,12.601151,29700,12.585231,12.420302,12.178045,0.011875,0.007098,0.001368,TRUE,TRUE,0.242258,0.010941,15.633415,39.905578,62.450893,3.529658,0.051174,-0.013265,4.298442,4.830343,5.315577,-748.854154,1.038482,6.390929,4.881608,0.234854,0.06782,0.046877,0.312182,3.862661,-1.61042,0.827875,-1008100,-57.87234,-1664447743.508723,-67.092781,65.189128,-4.879426,-3.527594,96.626737,0.062824,4.349618,0.216511,0.06782,0.326116
01-11-24,13.38,13.4,13.37,12.619987,12000,12.594057,12.429981,12.18022,0.011352,0.007319,0.001367,TRUE,TRUE,0.249761,0.010805,15.653903,39.544078,64.958007,2.507115,0.049687,-0.011801,4.454346,5.068141,5.553506,-730.018025,1.41861,6.361241,3.614941,0.231593,0.074164,0.057161,0.292861,4.353091,-1.61042,0.345921,-996100,-66.386555,-1665059759.530594,-67.448558,57.136128,-3.370867,-2.63494,97.133965,0.069777,4.925702,0.239084,0.074164,0.717287
01-12-24,13.42,13.43,13.41,12.629404,45300,12.601945,12.439849,12.18281,0.010746,0.007533,0.001367,TRUE,TRUE,0.257039,0.010667,8.085122,39.76501,66.174073,3.72318,0.048708,-0.010225,4.775195,4.661279,5.471258,-720.600437,1.265024,6.336332,2.27648,0.231594,0.074275,0.057246,0.288214,4.349705,-1.61042,1.282378,-950800,38.957055,-1668641077.478334,-67.621221,58.000366,-4.012784,-2.286118,96.994328,0.069898,4.934449,0.239262,0.074275,1.206186
01-15-24,13.41,13.43,13.41,12.648239,24700,12.60608,12.44897,12.18554,0.010116,0.007741,0.001367,TRUE,TRUE,0.263429,0.010512,15.683205,39.97016,68.526559,6.075666,0.048887,-0.008036,4.85024,4.49583,5.227513,-701.765261,0.658056,6.306059,2.33093,0.23084,0.072019,0.051101,0.343663,4.623698,-1.61042,0.710076,-926100,-30.422535,-1670547283.371906,-70.630792,57.840962,-4.537274,-1.500071,96.867239,0.072146,5.093211,0.226055,0.072019,1.808687
01-16-24,13.4,13.4,13.36,12.601151,74900,12.606451,12.456774,12.188044,0.009427,0.007941,0.001368,TRUE,TRUE,0.26873,0.010246,-11.764706,38.247621,57.718957,-7.23905,0.044715,-0.009767,4.703015,4.186711,4.756208,-832.062816,0.058976,6.281026,2.316076,0.238004,0.079557,0.058387,0.35598,4.070661,-1.61042,2.080267,-1001000,48.316832,-1673464076.126359,-68.54184,53.612941,-3.228015,-1.280785,96.958687,0.064652,4.44385,0.241634,0.079557,-0.228868
01-17-24,13.36,13.36,13.33,12.554059,228300,12.604468,12.4627,12.190266,0.008668,0.008128,0.001368,TRUE,TRUE,0.272433,0.009919,-20.00162,35.752749,49.338505,-16.835568,0.037179,-0.013842,4.230873,3.956912,4.206615,-705.403015,-0.314953,6.293284,2.585005,0.244073,0.105606,0.097305,0.399987,3.312038,-1.61042,4.864174,-1229300,2253.608247,-1685502301.669163,-64.982752,36.435219,-2.095638,-0.59583,97.694732,0.050422,3.451642,0.311937,0.105606,-1.950055
01-18-24,13.33,13.34,13.32,12.563478,38200,12.604364,12.469376,12.192444,0.007848,0.008303,0.001369,TRUE,TRUE,0.276932,0.009643,-28.572049,33.237811,50.874807,-17.651751,0.031603,-0.015534,4.38999,3.87523,4.127027,-630.43575,-0.0165,6.275212,2.601795,0.241988,0.110124,0.106923,0.437803,3.084126,-1.61042,0.8179,-1191100,-10.747664,-1688430350.248221,-64.659703,31.810515,-3.569408,-0.331488,97.490886,0.044723,3.104498,0.32699,0.110124,-1.571488
01-19-24,13.34,13.35,13.33,12.563478,7100,12.603322,12.475678,12.194391,0.006974,0.008465,0.00137,TRUE,TRUE,0.281287,0.009357,-28.572049,31.102832,50.874807,-6.84415,0.026874,-0.016211,4.38999,3.636631,3.734706,-687.743619,-0.165714,6.26688,2.725167,0.242116,0.108941,0.104765,0.472603,2.99814,-1.61042,0.170427,-1191100,-93.425926,-1688981668.701396,-62.708249,31.624765,-5.012734,-0.818152,96.759481,0.041634,2.885057,0.323675,0.108941,-1.462082
01-22-24,13.35,13.37,13.35,12.572897,16500,12.601341,12.482355,12.196339,0.006083,0.008614,0.001371,TRUE,TRUE,0.286016,0.009061,-8.333826,29.651588,52.543988,3.205483,0.023614,-0.015576,4.225675,4.192998,3.812481,-679.180538,-0.314038,6.287946,2.797866,0.241986,0.108398,0.10364,0.484193,3.081723,-1.61042,0.405954,-1174600,-55.163043,-1690280421.145247,-62.216449,36.019134,-6.456931,-0.397118,96.862303,0.04279,2.964877,0.321931,0.108398,-1.016644
01-23-24,13.33,13.36,13.33,12.572897,7200,12.599361,12.48922,12.198242,0.005208,0.008749,0.001372,TRUE,TRUE,0.290978,0.008756,-13.043287,27.698401,52.543988,1.66918,0.020791,-0.01472,3.90401,3.95311,3.969145,-679.180538,-0.314038,6.281603,2.854297,0.242114,0.1093,0.104195,0.499887,2.995863,-1.61042,0.181406,-1174600,-72.623574,-1690651033.803797,-62.363623,33.644932,-7.607657,-0.456591,96.440118,0.039784,2.756028,0.322792,0.1093,-0.927161
01-24-24,13.38,13.38,13.36,12.582314,13200,12.596912,12.496647,12.200053,0.004383,0.008868,0.001374,TRUE,TRUE,0.296594,0.008485,4.761675,26.416051,54.342816,3.468008,0.019094,-0.013134,3.901629,4.190888,4.204294,-670.619191,-0.387705,6.292941,2.774957,0.241269,0.118365,0.118978,0.49391,2.851271,-1.61042,0.344873,-1161400,-68.192771,-1691690754.726933,-64.306213,37.334186,-8.099868,-0.082922,96.422286,0.03386,2.373492,0.344932,0.118365,-0.526055
01-25-24,13.39,13.4,13.38,12.619987,7600,12.597383,12.504454,12.202467,0.003632,0.008973,0.001376,TRUE,TRUE,0.301987,0.008236,19.999838,25.713841,60.751743,8.207755,0.020551,-0.009341,4.212715,4.744369,4.358543,-636.37207,0.074672,6.274485,2.807151,0.242556,0.12209,0.124563,0.471345,3.246791,-1.61042,0.199974,-1153800,-41.538462,-1692275979.370488,-64.1828,34.558085,-8.327539,-0.120413,96.381229,0.039923,2.792565,0.352934,0.12209,0.805208
01-26-24,13.38,13.38,13.36,12.582314,43400,12.594558,12.510196,12.204739,0.002937,0.009059,0.001378,TRUE,TRUE,0.305457,0.007898,-7.692308,24.433426,52.773986,0.229998,0.018454,-0.009151,3.821601,4.190888,3.733873,-670.619191,-0.447092,6.266539,2.647983,0.246944,0.123649,0.12331,0.481322,2.869279,-1.61042,1.118701,-1197200,57.246377,-1695694455.738979,-64.538496,27.454607,-9.257959,-0.705366,96.03397,0.034709,2.383001,0.351155,0.123649,-0.462362
01-29-24,13.34,13.36,13.34,12.618205,10600,12.593527,12.517592,12.207097,0.002305,0.00913,0.00138,TRUE,TRUE,0.310494,0.007689,6.07445,22.710486,58.381319,4.038504,0.019464,-0.006513,3.892996,4.665609,4.186583,-637.991573,-0.163121,6.242395,2.502747,0.24307,0.116409,0.109999,0.475182,2.721556,-1.61042,0.272634,-1186600,19.101124,-1696470177.497598,-64.947938,22.682022,-10.69787,-1.598401,95.803363,0.034395,2.381019,0.331661,0.116409,0.986042
01-30-24,13.34,13.36,13.34,12.608761,21400,12.594378,12.524237,12.209501,0.001757,0.009184,0.001382,TRUE,TRUE,0.314736,0.007473,2.622412,21.110613,56.480907,-4.270836,0.019279,-0.005358,3.895315,4.265221,4.147903,-646.577195,0.135223,6.226079,2.525186,0.243329,0.153907,0.132658,0.472077,2.470266,-1.61042,0.574111,-1208000,-60,-1698056468.442236,-66.077086,23.0254,-10.117982,-1.482475,95.613801,0.030841,2.160396,0.364222,0.153907,0.569564
01-31-24,13.36,13.39,13.36,12.637094,40100,12.596175,12.531449,12.212047,0.001269,0.009223,0.001385,TRUE,TRUE,0.319403,0.007361,5.708049,20.408873,60.62216,7.848174,0.021175,-0.002769,4.128774,4.580023,4.539983,-620.820329,0.285236,6.202166,2.697914,0.240531,0.128199,0.097762,0.468879,2.324414,-1.61042,1.046587,-1167900,107.772021,-1700029093.218128,-62.909437,26.771484,-8.678879,0.375177,96.751795,0.035768,2.485241,0.312669,0.128199,1.516658
02-01-24,13.39,13.42,13.39,12.674874,67400,12.601274,12.538855,12.214827,0.000902,0.009249,0.001387,TRUE,TRUE,0.324028,0.007242,13.860215,20.458903,65.356322,6.975003,0.025433,0.001191,3.958783,4.892683,4.852523,-586.474372,0.811089,6.168403,3.159052,0.239763,0.124827,0.092341,0.651672,2.914652,-1.61042,1.698589,-1100500,68.0798,-1703309821.482107,-62.211006,29.479615,-7.954219,-0.137895,96.740429,0.04357,3.027938,0.303876,0.124827,2.329813
