Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
08-28-24,37.68,37.93,37.540001,36.094757,1874100,35.056518,34.381334,33.146649,0.024276,0.009854,0.015041,TRUE,TRUE,1.234685,0.044096,70.695555,22.900279,70.383979,-0.209765,0.430462,0.090585,8.109062,11.023261,20.553874,17.702081,2.690223,5.167121,72.53176,0.654057,0.717268,0.673644,2.695867,1.800386,-6.451231,0.972099,-56567500,60.029033,-13945369737.903732,-9.931063,78.229558,1.210223,1.241453,90.725075,0.024149,1.025981,0.820758,0.717268,1.431426
08-29-24,37.860001,38.209999,37.860001,36.439884,4373700,35.112458,34.452431,33.18576,0.025727,0.011097,0.015242,TRUE,TRUE,1.26667,0.047577,72.426097,23.519362,74.011126,2.989212,0.470326,0.10436,6.630624,10.965884,20.269999,29.477447,3.167483,5.176316,78.729192,0.662784,0.728126,0.670291,3.140252,2.213612,-6.451231,2.111511,-52193800,190.746527,-13985235953.81654,-9.918672,81.09254,0.307209,1.359616,91.175401,0.029302,1.222233,0.818713,0.728126,1.686066
08-30-24,38,38.389999,38,36.727493,2147600,35.202358,34.531933,33.223407,0.028575,0.01237,0.015443,TRUE,TRUE,1.308525,0.051389,87.928497,24.379758,76.584752,9.507039,0.519142,0.122541,7.17503,11.112801,21.698053,32.142629,5.147525,5.192749,86.419917,0.668311,0.741261,0.680927,3.337718,2.518731,-6.451231,1.06203,-50046200,-31.419448,-14001398116.35811,-10.106316,86.452759,1.387277,1.884813,91.426566,0.042972,1.807028,0.825183,0.741261,1.764796
09-03-24,38.240002,38.34,38.18,36.727493,1373000,35.325211,34.615415,33.260225,0.032949,0.013687,0.015642,TRUE,TRUE,1.35519,0.055027,86.477661,25.178698,76.584752,6.200773,0.551472,0.123896,7.264022,10.830167,23.271257,25.780907,7.169602,5.131524,89.870295,0.6681,0.724721,0.670523,2.929058,2.54149,-6.451231,0.731952,-50046200,-68.071252,-14027699791.846273,-10.840573,86.359347,1.713096,2.327595,92.262705,0.060218,2.492698,0.818855,0.724721,1.56034
09-04-24,38.16,38.639999,38.16,36.986343,1493800,35.476766,34.703885,33.298291,0.038804,0.015056,0.01584,TRUE,TRUE,1.405594,0.058738,86.68274,26.387523,78.778328,4.767202,0.591166,0.130872,8.16969,11.077547,22.779633,19.725341,8.926755,5.099634,91.10099,0.669191,0.728816,0.657619,3.134693,2.958564,-6.451231,0.821787,-48552400,-43.736347,-14036498632.251904,-11.124237,86.368038,2.046853,2.740413,92.912959,0.067114,2.720887,0.810937,0.728816,1.657037
09-05-24,38.709999,38.830002,38.59,37.149319,1122300,35.641723,34.785,33.33579,0.045884,0.01649,0.016037,TRUE,TRUE,1.44921,0.062264,85.848552,27.777659,80.045822,3.46107,0.62853,0.134589,8.67643,11.222883,24.190155,21.828747,9.746291,5.031437,89.959883,0.664915,0.725987,0.662595,3.177093,3.352319,-6.451231,0.645519,-47430100,-58.513234,-14051094811.352278,-11.610446,85.319803,3.43122,3.33285,93.509461,0.0877,3.60461,0.813999,0.725987,1.675854
09-06-24,38.75,39.060001,38.5,37.091801,848300,35.783746,34.864775,33.373093,0.053679,0.017987,0.016233,TRUE,TRUE,1.491682,0.064983,78.966821,29.369449,78.269084,1.684332,0.646052,0.121689,8.568382,10.554611,25.14885,4.917827,8.293019,5.024581,89.273111,0.651022,0.705836,0.652009,2.907731,3.736184,-6.451231,0.520059,-48278400,-71.695973,-14056209441.871824,-11.849145,84.413891,4.448364,4.499261,94.092179,0.10197,4.214944,0.807471,0.705836,1.465228
09-09-24,38.889999,39.27,38.889999,37.647835,2847800,35.944497,34.956429,33.414605,0.062284,0.019583,0.016428,TRUE,TRUE,1.541824,0.068273,81.845017,31.101037,82.348123,3.569795,0.696774,0.137928,10.594704,11.868383,28.175009,28.852344,9.337103,4.991552,92.552632,0.67075,0.726085,0.676209,3.774917,4.317863,-6.451231,1.668009,-45430600,114.944524,-14077675275.758287,-11.410634,85.488426,4.232602,4.271686,94.305168,0.117562,4.889624,0.822319,0.726085,1.840399
09-10-24,39.32,39.32,38.919998,37.638252,1735400,36.115276,35.04694,33.456621,0.071301,0.021268,0.016621,TRUE,TRUE,1.590319,0.070721,82.533125,32.768239,82.062241,2.016419,0.727808,0.13517,11.12341,11.498542,28.222443,27.821937,9.980425,4.991143,90.601018,0.651269,0.713712,0.659382,3.471744,4.862231,-6.451231,1.000842,-47166000,44.29201,-14090532342.599157,-11.308677,92.523446,5.285761,4.400847,94.577648,0.124981,5.219743,0.812023,0.713712,1.68097
09-11-24,39.200001,39.740002,39.18,38.060074,2314700,36.291863,35.146458,33.501115,0.080654,0.023051,0.016813,TRUE,TRUE,1.645343,0.073095,84.741728,34.769782,84.597174,6.32809,0.777478,0.147872,13.416023,12.560757,28.455563,38.911715,10.228558,4.996186,92.441716,0.644356,0.712208,0.679897,4.046061,5.750512,-6.451231,1.30936,-44851300,41.372992,-14102105211.895006,-10.750435,92.870544,5.76758,4.935887,94.797484,0.146051,6.359653,0.824559,0.712208,1.912784
09-12-24,39.740002,39.810001,39.59,38.155937,1564300,36.46226,35.243897,33.54572,0.090009,0.024918,0.017004,TRUE,TRUE,1.698177,0.075175,85.828726,36.696693,85.112095,2.763973,0.815181,0.14846,13.991428,12.222514,28.065652,33.837433,9.807538,4.996197,93.884006,0.640473,0.692235,0.664039,3.866152,6.00873,-6.451231,0.884958,-43287000,-0.19778,-14124063077.691233,-10.867708,95.918742,5.542718,4.150988,94.050181,0.144094,6.16171,0.814886,0.692235,1.804011
09-13-24,39.849998,40.040001,39.830002,38.290157,1459200,36.623607,35.337551,33.591641,0.09921,0.026855,0.017194,TRUE,TRUE,1.745909,0.077446,84.856976,38.703121,85.826535,3.764294,0.846137,0.143533,15.603392,13.524251,27.612787,35.667544,9.203254,4.930498,96.273124,0.639859,0.693468,0.667882,3.81789,5.956376,-6.451231,0.863317,-41827800,-51.486136,-14146921810.159897,-10.873116,95.871596,5.426238,4.405032,94.064493,0.138013,5.941428,0.81724,0.693468,1.731064
09-16-24,40.09,40.169998,39.959999,38.481903,711300,36.77926,35.434468,33.640973,0.108219,0.028856,0.017383,TRUE,TRUE,1.793495,0.079505,85.649941,40.682291,86.801,2.203825,0.876044,0.138752,17.255879,14.092747,27.125108,40.768562,8.801678,4.921192,100.011765,0.634693,0.688328,0.66442,3.850896,6.381792,-6.451231,0.441052,-41116500,-68.54186,-14157646198.486872,-11.161115,95.921452,6.16361,4.302583,93.957819,0.141627,6.114841,0.815119,0.688328,1.702443
09-17-24,40.209999,40.279999,40.130001,38.558594,1036200,36.928241,35.538438,33.688144,0.116936,0.030925,0.017571,TRUE,TRUE,1.850294,0.081035,95.316633,42.616901,87.180628,2.068533,0.895609,0.126654,17.829849,14.320122,26.840489,37.17495,8.374636,4.94821,103.32863,0.624222,0.690105,0.69383,3.536995,6.830847,-6.451231,0.649193,-40080300,-24.265458,-14180393293.275915,-11.407222,99.009901,6.845355,4.705634,94.381021,0.161515,7.423214,0.832965,0.690105,1.577833
09-18-24,40.18,40.18,39.939999,38.386032,1161300,37.069549,35.636673,33.731907,0.124896,0.033046,0.017757,TRUE,TRUE,1.904766,0.081965,82.699616,43.576661,81.500429,-4.326106,0.886967,0.094409,16.727851,13.587682,26.387228,21.736855,7.947611,4.880897,102.954498,0.630528,0.695179,0.694856,3.099709,6.562539,-6.451231,0.738905,-41241600,-29.660812,-14196592999.121899,-10.962173,95.066572,6.179049,4.468463,94.300022,0.15615,7.116823,0.833581,0.695179,1.278704
09-19-24,40.459999,40.5,40.189999,38.769508,1676100,37.227165,35.7382,33.775736,0.132295,0.035223,0.017942,TRUE,TRUE,1.962464,0.084099,82.935809,44.820693,83.995906,-2.805094,0.900678,0.086496,18.371533,13.682628,28.659849,30.780334,8.850573,4.832385,103.676969,0.612584,0.677812,0.689105,3.150058,6.482318,-6.451231,1.053849,-39565500,28.930769,-14213629571.288267,-10.403163,94.490097,6.039239,4.233564,94.16306,0.151317,7.032576,0.830123,0.677812,1.487643
09-20-24,40.470001,40.650002,40.310001,38.874962,2525200,37.390531,35.835176,33.819953,0.139157,0.037461,0.018126,TRUE,TRUE,2.015223,0.086106,81.752488,46.12547,84.610684,-2.569944,0.909569,0.07631,19.419115,12.937206,28.852949,28.713314,9.175927,4.806484,102.550402,0.611791,0.677886,0.687909,3.028006,6.595952,-6.451231,1.502608,-37040300,249.073818,-14237471007.583973,-10.341336,94.61867,7.435257,3.653229,94.393096,0.152308,7.074252,0.829403,0.677886,1.447513
09-23-24,40.599998,40.599998,40.189999,38.731167,1349200,37.530471,35.926231,33.862804,0.1451,0.03975,0.018308,TRUE,TRUE,2.063427,0.087493,72.319436,46.821984,80.09267,-1.407759,0.894698,0.049151,18.9428,12.734199,30.397691,22.938418,7.789036,4.845082,100.684372,0.61539,0.676132,0.675751,2.645552,6.447596,-6.451231,0.814902,-38389500,-26.947859,-14248421459.192194,-10.422429,88.339382,6.673474,2.6826,93.862453,0.146178,6.622068,0.822041,0.676132,1.192535
09-24-24,40.389999,40.48,40.25,38.606522,645500,37.662267,36.010988,33.904893,0.1497,0.042072,0.018489,TRUE,TRUE,2.106095,0.088441,61.454583,47.468747,76.289851,-7.706055,0.862908,0.013889,16.658703,12.371396,30.582783,4.95449,7.328023,4.830442,96.349687,0.619874,0.68514,0.679195,2.312391,6.202181,-6.451231,0.387567,-39035000,43.988401,-14258291893.23097,-10.275856,84.782216,5.889803,2.157694,93.5346,0.144139,6.517152,0.824133,0.68514,0.980028
09-25-24,40.220001,40.330002,40.169998,38.596939,980000,37.800749,36.092127,33.94698,0.152815,0.044422,0.018669,TRUE,TRUE,2.145147,0.08902,58.301493,47.701267,75.991131,-8.619553,0.827403,-0.017293,16.596322,12.527609,30.671952,4.508792,7.730489,4.809401,88.142255,0.619347,0.685206,0.678614,1.994049,6.233691,-6.451231,0.589669,-40015000,-6.790945,-14278541425.94125,-10.49778,79.961046,5.772472,2.295666,93.692156,0.143909,6.506398,0.82378,0.685206,0.903302
09-26-24,40.349998,40.75,40.349998,38.913307,1443200,37.941676,36.175787,33.989307,0.154491,0.046805,0.018849,TRUE,TRUE,2.18648,0.09015,66.433718,48.471393,78.925132,-1.167538,0.815394,-0.023441,17.68682,12.371818,33.273984,1.253107,7.808752,4.814791,81.72926,0.622003,0.687599,0.679781,1.647862,6.298819,-6.451231,0.879783,-38571800,-22.99237,-14290351750.700447,-10.515148,80.561547,6.28145,2.614595,93.967056,0.144556,6.519612,0.824488,0.687599,1.188841
09-27-24,40.59,40.650002,40.419998,38.903687,1158600,38.064866,36.258684,34.03117,0.154472,0.049202,0.019027,TRUE,TRUE,2.227515,0.091499,57.203076,49.186511,78.610526,2.320675,0.795926,-0.034328,17.488685,11.858111,35.151151,-0.891346,6.761279,4.734919,76.288737,0.61602,0.69339,0.673906,1.40003,5.93193,-6.451231,0.783023,-39730400,-73.509843,-14306786637.933008,-10.865768,73.047565,6.944486,2.481391,94.047175,0.144261,6.510052,0.820918,0.69339,1.099534
09-30-24,40.369999,40.560001,40.299999,38.961407,898100,38.176562,36.343307,34.073367,0.153029,0.05161,0.019203,TRUE,TRUE,2.26994,0.092697,58.975545,49.289195,79.147577,3.156446,0.776207,-0.043237,17.764534,12.358192,33.69064,-13.923162,6.082401,4.724999,71.905074,0.615793,0.693282,0.673607,1.187477,5.961367,-6.451231,0.633726,-38832300,-58.181226,-14316932276.957041,-11.132505,67.145015,6.794294,2.988443,94.109055,0.144037,6.499345,0.820736,0.693282,1.091501
10-01-24,40.459999,40.549999,40.139999,38.855591,1661000,38.282967,36.426194,34.11175,0.150572,0.054002,0.019379,TRUE,TRUE,2.314444,0.092958,41.270696,48.669386,75.409496,-3.515636,0.743471,-0.060779,16.739612,13.281684,33.579743,-63.311158,5.79429,4.643532,64.719987,0.603625,0.681078,0.660363,1.016414,6.322065,-6.451231,1.160261,-40493300,20.975965,-14329000122.945559,-10.523386,56.93794,6.012992,3.104215,93.776157,0.145951,6.586178,0.812627,0.681078,0.884772
