Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
05-13-24,20.860001,21.040001,20.860001,20.47508,13600,19.838587,19.646518,18.600476,0.012464,0.02289,0.002389,TRUE,TRUE,1.046042,0.018088,66.060676,28.339721,70.55307,0.889883,0.249967,0.05728,9.152373,12.662547,15.307774,52.923328,4.897553,3.007003,46.021872,0.665385,0.505195,0.160298,2.538301,3.178658,-4.148745,0.702117,-883400,-1.449275,-185817447.106108,-6.412369,65.717283,3.529205,-1.654375,88.18346,0.109096,2.840351,0.400372,0.505195,1.383024
05-14-24,21.01,21.08,20.99,20.562872,8200,19.904431,19.67227,18.610905,0.015726,0.022925,0.002402,TRUE,TRUE,1.061365,0.018749,66.467115,29.553386,72.306271,3.090036,0.262915,0.056182,10.656174,13.738615,15.740419,58.296122,6.842366,2.996506,46.515042,0.652147,0.498266,0.162382,2.504172,2.931642,-4.148745,0.425422,-875200,-18.811881,-185903479.157987,-6.491757,65.892584,2.551735,-0.05241,88.587748,0.098368,2.616286,0.402967,0.498266,1.415544
05-15-24,21.1,21.25,21.1,20.728703,12100,19.981493,19.705826,18.619273,0.019482,0.022975,0.002417,TRUE,TRUE,1.086553,0.019677,67.816146,31.172628,75.297992,7.943375,0.283292,0.061247,9.592584,12.071409,15.625468,54.669771,8.032541,2.9957,46.777979,0.657705,0.499849,0.160553,2.795324,3.127873,-4.148745,0.705745,-863100,-77.879342,-185975482.027919,-6.065804,63.676847,3.115045,-0.184529,89.223007,0.106409,2.803181,0.400691,0.499849,1.597353
05-16-24,21.209999,21.27,21.16,20.748213,19900,20.052215,19.735285,18.628734,0.023598,0.023029,0.002435,TRUE,TRUE,1.106551,0.020541,65.217507,32.729861,75.631535,5.078465,0.297584,0.060432,10.665983,11.890291,16.287467,48.844372,7.315851,2.951209,47.16064,0.657464,0.501047,0.159963,2.553334,3.166895,-4.148745,1.142693,-843200,37.241379,-186144373.236824,-6.254547,64.520768,5.763081,-0.175877,89.254238,0.104827,2.761539,0.399954,0.501047,1.475803
05-17-24,21.26,21.4,21.26,20.875023,23200,20.132691,19.768841,18.638829,0.027915,0.023101,0.002455,TRUE,TRUE,1.130012,0.021782,62.416194,34.508858,77.735803,5.429532,0.315507,0.062684,10.025703,12.920364,17.122603,54.349834,8.354436,2.901034,46.760323,0.654378,0.492589,0.155663,2.837582,3.097197,-4.148745,1.298265,-820000,64.539007,-186295166.283146,-5.999265,62.603271,4.510484,0.100282,89.141599,0.10231,2.701044,0.394541,0.492589,1.587525
05-21-24,21.280001,21.280001,21.16,20.640909,24200,20.19756,19.795569,18.649459,0.032158,0.02317,0.002478,TRUE,TRUE,1.14611,0.022644,56.128834,35.306263,66.345347,-8.952645,0.307278,0.043563,8.512813,11.998383,15.624656,33.992115,6.707009,2.927991,44.163363,0.674031,0.50063,0.149381,2.493991,2.446881,-4.148745,1.322766,-844200,54.140127,-186528731.382089,-6.309215,60.742214,2.965194,0.016715,88.141874,0.082588,2.108962,0.386498,0.50063,1.003886
05-22-24,21.15,21.27,21.15,20.650665,23900,20.259502,19.821517,18.660043,0.036282,0.023224,0.002502,TRUE,TRUE,1.161474,0.023262,56.128944,35.962358,66.56521,-9.066325,0.298107,0.027514,8.564102,10.461139,15.37313,27.249007,6.381915,2.927073,41.147651,0.668223,0.481673,0.13945,2.101248,2.707717,-4.022986,1.242204,-820300,378,-186751531.501297,-6.524554,61.182109,3.101134,-0.799602,88.526107,0.093007,2.381796,0.37343,0.481673,0.950634
05-23-24,21.18,21.219999,21.1,20.582382,41000,20.314616,19.841221,18.669906,0.040121,0.023258,0.002529,TRUE,TRUE,1.171315,0.023716,37.404455,36.13992,63.441281,-14.294522,0.282077,0.009188,7.324517,10.882682,15.726789,-0.940488,5.65849,2.826196,37.367188,0.670858,0.48847,0.146041,1.89267,2.526455,-4.022986,1.958911,-861300,469.444444,-187146240.405516,-6.697442,45.828415,3.319122,-0.437445,88.786342,0.088842,2.274948,0.382153,0.48847,0.716582
05-24-24,21.1,21.139999,21.059999,20.611645,33300,20.366316,19.863267,18.681338,0.043612,0.023277,0.002558,TRUE,TRUE,1.181929,0.023841,24.073853,35.960835,64.216318,-2.129029,0.268638,-0.003401,7.1501,11.21064,15.891321,2.672174,5.281506,2.750109,33.59694,0.656827,0.466296,0.139326,1.804932,3.00705,-4.022986,1.578573,-828000,11,-187552796.06677,-7.394081,38.8442,3.237053,-0.604427,88.490057,0.1024,2.667668,0.373264,0.466296,0.730213
05-27-24,21.15,21.15,21.07,20.562872,8200,20.408261,19.884922,18.692004,0.046605,0.023278,0.002589,TRUE,TRUE,1.192918,0.023944,24.074077,35.838522,61.862309,-4.7029,0.251157,-0.016706,7.496168,10.777575,15.61709,-3.349165,4.253218,2.783164,30.222595,0.657213,0.463447,0.134997,1.700825,2.723744,-4.022986,0.3948,-836200,-44.217687,-187664957.357093,-7.554302,42.179587,2.946139,-1.210383,88.202068,0.095065,2.468901,0.367419,0.463447,0.511575
05-28-24,21.139999,21.139999,20.969999,20.465324,20800,20.433135,19.905992,18.701708,0.048965,0.023262,0.002622,TRUE,TRUE,1.204284,0.024234,12.82035,34.853921,57.335334,-6.105947,0.226817,-0.032837,6.877223,11.274491,13.080517,-46.043142,2.491447,2.816107,28.399203,0.642406,0.432233,0.120709,1.631316,2.043142,-4.022986,1.044439,-857000,-45.118734,-187809254.221189,-7.90167,39.89808,2.693176,-0.188248,88.255045,0.077289,2.036779,0.347432,0.432233,0.113346
05-29-24,20.91,20.92,20.809999,20.338514,16500,20.460448,19.925306,18.712011,0.050524,0.023221,0.002658,TRUE,TRUE,1.213296,0.024185,-3.225796,32.759803,52.007283,-12.209035,0.195047,-0.051686,7.197934,10.471175,13.50898,-71.2076,2.759973,2.792815,24.232229,0.647957,0.427412,0.136948,1.651461,1.855116,-4.022986,0.830607,-873500,-5.714286,-187967198.977743,-7.836561,32.765535,4.501021,0.438233,89.198369,0.080731,2.128994,0.370065,0.427412,-0.503189
