Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
06-28-24,47.439999,47.5,47.029999,46.679119,4500,46.685196,46.07433,42.8958,0.022456,0.028479,0.021899,TRUE,TRUE,3.17853,0.040476,-5.388576,24.101094,54.579673,-2.421276,0.16766,-0.044977,2.371331,11.984208,20.210203,-45.303021,1.819151,1.284702,20.249768,0.47517,0.39673,0.275231,0.469413,1.50503,-3.306798,0.788782,26400,50,-14113721.422569,-5.605678,71.783603,3.813601,7.195741,107.169899,0.063662,2.498237,0.524624,0.39673,-0.030009
07-02-24,47.169998,47.290001,47.119999,46.847534,1500,46.719491,46.128403,42.927667,0.022148,0.028531,0.022052,TRUE,TRUE,3.200737,0.041229,16.132049,23.954011,58.83238,1.169392,0.166005,-0.037305,3.526666,12.601641,20.096215,-18.13942,1.48587,1.320606,16.348393,0.463984,0.379283,0.253664,0.421323,1.233555,-3.306798,0.272232,27900,-72.222222,-14120029.567975,-5.637383,76.535323,4.022618,7.199778,107.232036,0.058866,2.33128,0.503651,0.379283,0.783216
07-03-24,47.41,47.66,47.41,47.214073,2300,46.772113,46.184269,42.962596,0.022193,0.028639,0.022206,TRUE,TRUE,3.221673,0.042588,15.679901,24.817838,66.24088,9.416773,0.192057,-0.009003,4.154522,14.023941,19.558361,36.29626,2.279903,1.281554,14.250334,0.473436,0.390491,0.28068,0.949062,1.585346,-3.306798,0.417044,30200,4.545455,-14125934.618634,-5.577076,66.042182,3.359409,7.024987,106.591476,0.061263,2.422028,0.529792,0.390491,3.101402
07-04-24,47.700001,47.709999,47.68,47.253696,1300,46.799515,46.234398,42.998411,0.022452,0.028793,0.02236,TRUE,TRUE,3.235987,0.044017,33.217791,25.736351,66.933629,12.353955,0.21344,0.009904,4.928809,14.119633,19.480069,39.159648,1.173404,1.287879,17.745635,0.473362,0.39238,0.281216,0.985284,1.559574,-3.306798,0.26943,31500,-91.390728,-14164182.456884,-6.45402,69.551717,3.802418,7.386804,106.712686,0.063575,2.514761,0.530298,0.39238,2.559396
07-05-24,47.950001,47.950001,47.669998,47.342861,2300,46.830882,46.285322,43.03605,0.023083,0.028991,0.022516,TRUE,TRUE,3.249272,0.045179,49.364775,27.107342,68.500096,9.667716,0.234873,0.02507,4.188574,14.144435,19.944237,38.672873,1.342858,1.3204,21.359334,0.469485,0.374715,0.260377,1.07922,1.911306,-3.306798,0.46748,33800,475,-14171856.800558,-6.365302,77.662053,4.764996,8.47181,107.683458,0.073406,2.886073,0.510272,0.374715,2.396983
07-08-24,48.02,48.02,47.709999,47.342861,6600,46.864226,46.340796,43.074181,0.023938,0.029254,0.022673,TRUE,TRUE,3.266614,0.046616,39.928728,28.519126,68.500096,2.259216,0.248989,0.031349,4.075304,13.147656,21.335424,31.602209,1.428763,1.305914,23.871469,0.466169,0.386173,0.278097,1.040322,1.640272,-3.306798,1.290323,33800,144.444444,-14194089.70033,-6.136205,71.588699,4.502652,7.972902,107.52224,0.061058,2.447146,0.527349,0.386173,2.005051
07-09-24,47.799999,47.830002,47.759998,47.372578,2100,46.89411,46.388951,43.115904,0.025025,0.029561,0.022829,TRUE,TRUE,3.273047,0.0472,40.393541,29.830068,69.066515,2.132886,0.259582,0.033553,4.004928,13.459674,21.106225,34.603869,1.277802,1.2857,26.310771,0.443008,0.355037,0.252185,1.054578,2.385474,-3.306798,0.425101,35900,-62.5,-14219433.774223,-6.329777,61.385832,5.139351,8.078157,107.88041,0.076003,3.149371,0.502181,0.355037,1.818522
07-10-24,47.889999,48.240002,47.889999,47.788647,1200,46.955184,46.446614,43.159806,0.026644,0.029921,0.022987,TRUE,TRUE,3.286809,0.04777,53.071909,31.780767,75.664617,7.164521,0.298113,0.057668,5.353077,14.024687,22.323717,62.698025,2.623044,1.295647,31.904394,0.441168,0.35341,0.26953,1.772842,3.36921,-3.306798,0.251836,37100,-74.468085,-14221328.759563,-6.177036,58.828198,4.259052,7.161248,107.218526,0.090178,3.796616,0.519163,0.35341,2.612375
07-11-24,48.369999,48.43,48.279999,47.85799,5700,47.000933,46.508434,43.204054,0.028696,0.030331,0.023146,TRUE,TRUE,3.30438,0.048035,75.397055,33.861429,76.561917,8.061821,0.330436,0.071993,4.979471,14.243975,21.917867,59.142185,1.949092,1.307889,37.745997,0.43737,0.342681,0.25828,1.79527,3.686681,-3.306798,1.536388,42800,-78.731343,-14259101.080401,-6.420087,69.274001,2.682165,6.218519,106.617305,0.091537,3.857715,0.508213,0.342681,2.270592
07-12-24,48.459999,48.810001,48.459999,48.174995,6700,47.072916,46.576594,43.252002,0.031162,0.030806,0.023306,TRUE,TRUE,3.324592,0.048238,88.929312,36.23822,80.162911,11.096396,0.377283,0.095071,6.786941,14.6763,21.628035,64.32556,3.080485,1.376003,45.371483,0.434484,0.350296,0.276323,2.228383,4.438433,-3.306798,1.702668,49500,204.545455,-14276712.577824,-6.075963,75.192548,2.96007,6.253427,106.696797,0.107971,4.637257,0.525665,0.350296,2.429013
