Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
03-28-24,128.600006,128.669998,128.240005,128.029709,23600,127.121468,124.962132,112.764225,0.119199,0.220119,0.132954,TRUE,TRUE,12.197906,0.199248,15.651392,14.211824,57.221075,-0.881185,0.96768,-0.031339,8.12017,24.701457,43.689548,62.443091,1.260941,1.104206,114.925049,0.97901,0.843641,0.28111,1.454368,2.809663,-7.58123,0.577723,1237000,-16.607774,-34875801.929252,-0.739607,38.780002,1.693242,8.455567,98.721174,0.096863,1.852421,0.530198,0.843641,0.79029
04-01-24,128.660004,129.300003,128.100006,128.169205,29900,127.115987,125.14627,112.879808,0.116526,0.218861,0.133113,TRUE,TRUE,12.266462,0.190574,23.604264,14.309614,57.755863,1.713454,0.950617,-0.038721,8.612682,23.807291,41.310052,65.289948,-0.085442,1.127542,114.368912,0.974947,0.847603,0.285973,1.330105,2.985399,-7.58123,0.759172,1266900,-49.493243,-34902253.523164,-0.824626,46.507381,2.290766,8.474551,98.740961,0.108348,2.08778,0.534765,0.847603,0.920895
04-02-24,127.25,127.540001,126.650002,126.953575,33600,127.076629,125.26026,112.985538,0.113096,0.217477,0.13326,TRUE,TRUE,12.274722,0.179225,-7.450076,13.397538,51.691375,-5.868012,0.829442,-0.127917,9.571728,22.574234,38.633863,40.481151,-0.616219,1.089785,113.456587,0.986002,0.866462,0.299119,1.360303,2.683364,-7.58123,0.84295,1233300,39.419087,-34912931.99454,-0.753433,35.835784,3.644517,7.76114,98.445597,0.103117,1.983041,0.546918,0.866462,-0.108459
04-03-24,126.82,128.240005,126.82,127.252495,34600,127.167802,125.376243,113.086803,0.109411,0.215991,0.133396,TRUE,TRUE,12.289439,0.171823,7.41165,12.968384,52.998297,-4.222779,0.748898,-0.166769,11.01356,21.950675,36.619082,46.58156,1.453769,1.11473,106.641817,0.951395,0.83019,0.291222,1.324716,2.246705,-7.58123,0.908017,1267900,-50.35868,-34926455.55799,-0.731595,42.831589,4.858659,4.947016,98.589256,0.08182,1.621594,0.53965,0.83019,0.079418
04-04-24,129.029999,129.100006,125.760002,125.309486,46700,127.118977,125.442604,113.181681,0.104458,0.214371,0.133521,FALSE,TRUE,12.260923,0.160948,-8.454715,12.191708,44.55967,-13.196192,0.522261,-0.314724,9.862848,22.193802,34.935944,6.928277,-0.773234,1.238038,112.940934,0.975727,0.867216,0.300696,1.404101,1.734934,-7.58123,1.239713,1221200,-15.703971,-34985753.79775,-0.754796,41.242827,4.318857,4.559628,97.431978,0.049184,0.956895,0.548358,0.867216,-1.602157
04-05-24,126.190002,128,126.040001,126.923676,44400,127.052217,125.529093,113.289646,0.098816,0.2126,0.133635,TRUE,TRUE,12.239448,0.153713,19.999971,11.470509,51.472588,-0.218787,0.467512,-0.295579,11.219764,21.960596,37.202404,34.380379,-1.041023,1.305816,109.749399,0.984112,0.882008,0.316644,1.212281,1.866866,-7.58123,1.241264,1265600,-46.116505,-34990117.908438,-0.782382,50.344858,4.934487,3.330745,97.723568,0.043909,0.856819,0.562711,0.882008,-0.117123
04-08-24,127.559998,127.82,127,126.834,17600,127.075633,125.611397,113.392593,0.092499,0.210708,0.133739,TRUE,TRUE,12.218804,0.146101,8.9757,10.800825,51.091444,-1.906853,0.412137,-0.280764,8.79487,22.364915,38.458217,32.383142,0.370603,1.210301,108.702138,0.984456,0.891465,0.320241,1.143149,1.808523,-7.58123,0.513719,1248000,-63.179916,-35014843.780469,-0.772511,47.913778,3.168726,4.427616,97.654523,0.033842,0.661887,0.565899,0.891465,-0.222289
04-09-24,127.980003,128.029999,126.550003,127.222603,42700,127.148371,125.715622,113.504783,0.084885,0.208625,0.133835,TRUE,TRUE,12.210839,0.138827,9.35855,10.491802,52.725096,8.165426,0.395054,-0.238277,8.960575,20.670062,37.999657,35.586453,1.156707,1.206603,104.267239,0.984718,0.890287,0.320621,1.079128,1.863091,-7.58123,1.250915,1290700,-5.530973,-35018732.842566,-0.712889,55.625331,2.36987,2.735833,97.520911,0.034041,0.665784,0.566234,0.890287,0.071194
04-10-24,126.199997,126.860001,126.059998,126.276009,58100,127.07912,125.775009,113.606231,0.075778,0.206313,0.133921,TRUE,TRUE,12.168777,0.129517,-16.114829,10.53782,48.477374,-2.995214,0.301656,-0.26534,7.352815,18.588026,37.150188,12.554923,-1.084918,1.167477,105.277669,0.991097,0.896659,0.330333,1.170363,1.647962,-7.58123,1.702814,1232600,-0.513699,-35045457.357625,-0.796717,45.328785,1.645836,3.1794,97.513384,0.035858,0.701852,0.574746,0.896659,-0.762851
04-11-24,127.160004,128.949997,126.550003,128.328629,70900,127.165311,125.892387,113.723058,0.068377,0.203875,0.133998,TRUE,TRUE,12.169329,0.122924,-0.959675,10.468534,56.63569,5.544247,0.388785,-0.142568,8.940958,19.600907,40.150618,72.560049,1.361566,1.178569,108.205873,1.009534,0.855464,0.289911,1.171315,2.068228,-7.246382,1.948337,1303500,178.039216,-35011269.967774,-0.646534,50.16402,3.341445,5.738008,99.571211,0.068429,1.276925,0.538434,0.855464,1.075097
