Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
03-19-24,20.559999,20.700001,20.540001,18.98679,22800,18.932173,19.106816,18.503628,-0.013062,0.022745,-0.005944,FALSE,TRUE,0.603188,-0.006439,12.941039,26.185154,50.93025,8.894927,-0.046032,0.008201,0.914721,-0.527612,-1.276668,-193.868196,-0.719401,8.980585,16.634774,0.869492,1.011234,0.502961,1.273452,0.336587,-13.916676,0.974567,-920900,42.5,-319108101.849588,-18.808541,40.854214,-6.309454,-9.43022,75.309482,-0.078176,-2.024468,0.709197,1.011234,0.328329
03-20-24,20.51,20.75,20.51,19.125174,14400,18.926702,19.103891,18.503833,-0.012717,0.021424,-0.005954,TRUE,TRUE,0.600058,-0.007159,30.588543,24.899348,54.982766,10.732302,-0.025481,0.023002,2.39361,1.825819,-0.602367,-170.804233,-0.568914,8.918231,15.743788,0.874004,1.029746,0.516635,1.274649,0.511104,-13.916676,0.628821,-906500,-40.740741,-319288681.207288,-18.491606,49.871077,-5.148151,-9.389213,75.22566,-0.070764,-1.848675,0.718773,1.029746,1.260637
03-21-24,20.85,20.9,20.799999,19.245115,23800,18.929065,19.104097,18.505081,-0.012019,0.020146,-0.005964,TRUE,TRUE,0.599016,-0.007228,22.876211,23.345543,58.204639,7.827649,0.000479,0.03917,2.386804,2.220095,0.432188,-129.845266,0.246175,8.82934,16.201015,0.856091,1.013034,0.518108,1.77818,0.248283,-12.793827,1.028744,-882700,24.60733,-320052603.147436,-19.319772,52.220117,-4.262375,-9.193727,75.562369,-0.078675,-2.101566,0.719797,1.013034,1.950808
03-22-24,20.860001,20.860001,20.530001,18.940659,26500,18.914827,19.095835,18.504008,-0.011136,0.018899,-0.005974,FALSE,TRUE,0.591827,-0.007581,2.174033,22.696586,48.68052,-2.24973,-0.003475,0.028173,1.603923,1.915218,0.309747,-172.130961,-1.481132,8.981482,14.635153,0.875907,1.03787,0.518781,1.765208,-0.453863,-12.157275,1.134418,-909200,20.454545,-320334361.182866,-18.965583,44.629075,-5.721912,-11.373297,74.744812,-0.098511,-2.573677,0.720265,1.03787,0.176504
03-25-24,20.49,20.549999,20.440001,18.885298,27000,18.912059,19.085552,18.502526,-0.010183,0.017684,-0.005983,FALSE,TRUE,0.583026,-0.007862,8.045483,22.44379,47.169096,-7.81367,-0.010949,0.016559,1.158652,2.359079,0.764004,-179.819967,-0.292296,8.993852,14.636076,0.874278,1.05522,0.535388,1.704272,-0.68816,-10.279961,1.131601,-936200,58.823529,-321124587.899934,-19.82591,42.613397,-5.159089,-10.945016,74.61555,-0.116244,-3.096546,0.731702,1.05522,-0.182842
03-26-24,20.459999,20.57,20.440001,18.866848,17100,18.907907,19.072887,18.501262,-0.009311,0.016485,-0.005993,FALSE,TRUE,0.571625,-0.008063,5.201834,22.094275,46.64928,-11.555358,-0.018152,0.007485,-0.445595,4.444491,-0.173683,-182.38244,-0.43821,8.980252,14.640897,0.873388,1.051017,0.534102,1.664366,-0.805133,-9.155962,0.722128,-953300,-17.391304,-321555550.701993,-19.88749,50.758621,-6.040675,-8.433944,74.699119,-0.115308,-3.070493,0.730823,1.051017,-0.280439
03-27-24,20.370001,20.700001,20.370001,19.135582,33200,18.925495,19.066329,18.502007,-0.008306,0.015289,-0.006001,TRUE,TRUE,0.564322,-0.007958,9.456446,21.045499,54.512495,5.831975,-0.002151,0.018789,0.246696,8.521177,0.457189,-145.05824,1.87267,8.841809,15.174922,0.891164,1.070234,0.546873,1.629476,-0.225021,-9.155962,1.672544,-920100,-69.763206,-321837130.798517,-19.313759,55.285691,-5.596773,-6.784691,75.043064,-0.107361,-2.841047,0.739508,1.070234,1.384437
03-28-24,20.68,20.780001,20.559999,19.181917,21800,18.952319,19.069112,18.503337,-0.007083,0.01408,-0.006009,TRUE,TRUE,0.565775,-0.007916,5.828555,19.656791,55.724208,8.555111,0.014107,0.028037,0.010243,9.965168,1.681763,-138.622787,2.877325,8.772778,14.697881,0.889849,1.068799,0.546129,1.617236,-0.02551,-9.155962,1.126324,-898300,-31.230284,-322132040.13407,-19.7388,56.564749,-6.416686,-6.280723,75.046459,-0.102475,-2.713526,0.739006,1.068799,1.562117
04-01-24,20.700001,20.700001,20.450001,18.968779,15600,18.954648,19.068913,18.503558,-0.005993,0.012867,-0.006017,FALSE,TRUE,0.565355,-0.008045,-2.099312,18.888288,49.228063,2.578783,0.009681,0.018889,-1.383189,7.465263,-0.376552,-168.225396,0.246122,8.862448,14.684549,0.898421,1.067473,0.534143,1.62842,-0.522055,-9.155962,0.799795,-913900,23.809524,-322332496.658728,-19.848246,55.932804,-7.705105,-7.867477,74.146673,-0.128122,-3.316777,0.730851,1.067473,0.09623
04-02-24,20.379999,20.379999,20.15,18.709318,27500,18.944926,19.057671,18.502526,-0.005179,0.011653,-0.006024,FALSE,TRUE,0.555145,-0.008401,-12.394703,19.338178,42.701967,-11.810528,-0.014595,-0.00431,-2.267363,5.941185,-2.727247,-192.090861,-1.028553,8.922916,15.651038,0.911785,1.081849,0.545317,1.742787,-1.077435,-9.155962,1.35836,-941400,116.535433,-322704508.127721,-19.542561,56.240033,-8.194574,-8.871909,73.611889,-0.145181,-3.748552,0.738456,1.081849,-1.505381
04-03-24,20.129999,20.25,20.02,18.570318,21900,18.935635,19.039808,18.50071,-0.004511,0.010435,-0.00603,FALSE,TRUE,0.539098,-0.008706,-13.653169,20.167474,39.668011,-16.056196,-0.044537,-0.027401,-2.574538,7.853185,-4.411025,-164.736775,-0.990744,8.947613,17.295878,0.909925,1.076149,0.534963,1.896753,-1.516361,-9.155962,1.062591,-963300,50,-323002478.598588,-19.402259,55.572231,-8.72944,-9.150474,72.999733,-0.160103,-4.095901,0.731412,1.076149,-2.112159
04-04-24,20.120001,20.25,20.040001,18.59812,23400,18.92635,19.021586,18.499432,-0.004046,0.009229,-0.006037,FALSE,TRUE,0.522154,-0.009181,-5.990595,20.937536,40.577404,-8.650659,-0.06527,-0.038507,-2.987288,10.800615,-3.657647,-161.577509,-0.988634,8.983728,18.602849,0.905273,1.059072,0.520981,1.962846,-1.246483,-9.155962,1.147621,-939900,-15.827338,-323347213.519569,-19.062712,62.056995,-8.531278,-6.833559,73.371137,-0.144759,-3.667666,0.72179,1.059072,-1.764406
04-05-24,20.01,20.299999,20.01,18.801987,8400,18.917571,19.01238,18.499661,-0.003666,0.008047,-0.006042,FALSE,TRUE,0.512719,-0.009346,1.364711,21.341951,46.898257,4.196291,-0.064507,-0.030196,-2.482162,9.715943,-1.751502,-135.731951,-0.925153,8.852847,18.762054,0.917177,1.066535,0.533039,1.950512,-0.859331,-9.155962,0.410056,-931500,29.230769,-323425595.232637,-18.916149,61.559737,-8.767439,-8.913908,73.451227,-0.13982,-3.541413,0.730095,1.066535,-0.616053
04-08-24,20.33,20.48,20.200001,18.97805,15700,18.91206,19.008159,18.502099,-0.00321,0.006918,-0.006047,FALSE,TRUE,0.506059,-0.008997,0.488474,20.685946,51.678719,12.010708,-0.049129,-0.011854,-2.310488,9.875891,-0.143453,-115.949517,-0.577422,8.726534,18.392504,0.921919,1.085645,0.541565,1.947898,-0.763573,-9.155962,0.761951,-915800,18.045113,-323578328.853891,-18.315051,60.535934,-7.936633,-8.061408,74.139031,-0.143174,-3.6411,0.735911,1.085645,0.358789
04-09-24,20.6,20.84,20.540001,19.293116,15000,18.926454,19.008227,18.50762,-0.002507,0.005827,-0.00605,TRUE,TRUE,0.500607,-0.008034,13.399741,19.92006,58.822624,18.24522,-0.011388,0.02071,0.112582,11.235328,1.140071,-80.548888,1.51472,8.63226,20.197933,0.946839,1.10407,0.53333,2.115371,-0.345605,-9.155962,0.723066,-900800,22.95082,-323718017.700959,-17.192514,59.488927,-6.478124,-6.6989,75.036831,-0.125532,-3.080871,0.730295,1.10407,1.815343
04-10-24,20.559999,20.559999,20.200001,18.829786,43800,18.920449,18.996089,18.51242,-0.002002,0.004758,-0.006053,FALSE,TRUE,0.483669,-0.007653,-11.313169,19.097911,47.662941,0.764684,-0.018649,0.010759,-2.105797,7.335956,-1.197779,-132.608397,-0.633787,8.656391,20.302859,0.993387,1.152353,0.543079,2.198323,-1.107159,-9.155962,2.037683,-944600,52.083333,-324095237.754683,-15.110315,49.564665,-7.812775,-8.07267,73.778091,-0.159953,-3.78141,0.736939,1.152353,-0.44655
04-11-24,20.370001,20.370001,20.15,18.811253,19100,18.919053,18.985234,18.517792,-0.001324,0.003721,-0.006055,FALSE,TRUE,0.467442,-0.007327,-17.28815,18.503144,47.276565,-4.402154,-0.025605,0.003043,-2.802966,5.441332,-2.197273,-141.02907,-0.148221,8.575835,20.371176,0.99325,1.149814,0.541056,2.296469,-1.083561,-8.087181,0.886105,-963700,6.703911,-324346791.630047,-14.996987,42.713976,-8.402479,-8.421568,74.057081,-0.158069,-3.72914,0.735565,1.149814,-0.529179
04-12-24,20.200001,20.27,19.940001,18.561054,29600,18.911604,18.972681,18.521115,-0.000883,0.002705,-0.006057,FALSE,TRUE,0.451566,-0.008089,-15.460373,18.616419,42.292333,-16.53029,-0.050721,-0.017659,-4.321808,5.967537,-4.024452,-153.216321,-0.796152,8.631349,21.420937,0.968811,1.118698,0.526868,2.462476,-0.883779,-8.087181,1.337551,-993300,63.535912,-324623766.296983,-14.619695,42.397613,-8.748409,-7.636053,73.731581,-0.145621,-3.468929,0.725857,1.118698,-1.636484
