Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
06-07-24,74.110001,74.690002,74.110001,73.234154,7500,72.386834,71.021464,65.640077,0.15122,0.03439,0.046929,TRUE,TRUE,5.381387,0.033023,15.954861,15.689594,65.1427,5.979429,0.578024,0.026899,4.42045,17.672008,25.329501,42.456546,2.665752,1.871869,53.82334,0.686425,0.659712,0.330072,1.180446,1.074477,-5.522812,1.085384,-288400,13.636364,-56044926.512234,-4.730406,58.363462,3.259704,8.392727,101.31781,0.061361,1.733745,0.574519,0.659712,1.57426
06-10-24,74.279999,74.550003,74.080002,73.391792,16000,72.482404,71.051416,65.703874,0.14666,0.033343,0.047099,TRUE,TRUE,5.347542,0.035892,13.225066,15.848969,66.385115,1.881867,0.601856,0.040585,4.747908,17.114695,24.769148,48.687321,2.674009,1.858164,53.85094,0.685349,0.662718,0.328212,1.335512,1.261246,-5.522812,2.134757,-272400,272.093023,-56107783.209851,-4.581635,49.119076,3.557362,7.60271,101.352966,0.06043,1.707739,0.572898,0.662718,1.688714
06-11-24,74.309998,74.68,74.040001,73.578987,9600,72.588318,71.087082,65.772022,0.141075,0.032503,0.047272,TRUE,TRUE,5.31506,0.03814,22.897277,16.180977,67.850537,2.567954,0.628602,0.053865,3.922397,16.902036,25.004755,56.08633,2.964267,1.872697,53.528723,0.679317,0.634864,0.316503,1.51361,1.621556,-5.522812,1.233933,-262800,146.153846,-56131213.636859,-4.442331,54.483749,3.944296,8.593655,102.442098,0.084364,2.384612,0.562586,0.634864,1.850724
06-12-24,75.459999,75.690002,75.230003,74.258827,17800,72.710491,71.147183,65.842301,0.134958,0.031871,0.047447,TRUE,TRUE,5.304882,0.042119,50.567602,17.670435,72.533605,7.390905,0.696626,0.09751,5.115934,17.470561,25.126674,59.456778,3.402406,1.903114,62.149032,0.683542,0.646776,0.325656,2.19156,1.703033,-5.522812,2.134293,-245000,169.69697,-56224174.375253,-4.528328,62.238119,5.463734,9.009355,103.076511,0.084052,2.377062,0.570663,0.646776,2.491328
06-13-24,75.5,75.599998,75.169998,74.416466,18400,72.798178,71.208269,65.911271,0.128949,0.031448,0.047627,TRUE,TRUE,5.296998,0.046796,46.829825,18.924956,73.497616,7.112501,0.754557,0.124353,5.6181,17.175496,24.495167,63.922461,2.413554,1.864802,72.884333,0.681145,0.595505,0.297648,2.281249,1.580397,-5.522812,2.148278,-226600,32.374101,-56307062.684545,-4.664823,65.927235,6.578312,9.675346,104.589692,0.092119,2.561729,0.545571,0.595505,2.22035
06-14-24,75.339996,75.470001,75.199997,74.317932,10800,72.889314,71.285316,65.97531,0.123244,0.031222,0.047807,TRUE,TRUE,5.310006,0.052047,40.500431,20.089867,71.801252,3.950715,0.783486,0.122625,6.159056,15.542007,24.472023,61.131139,2.514257,1.830589,79.949951,0.675565,0.589118,0.286977,2.198847,1.237612,-5.522812,1.196013,-237400,620,-56388426.753491,-4.816769,60.311973,7.33115,10.180689,104.675144,0.087244,2.427829,0.535702,0.589118,1.78689
06-17-24,75.309998,76.25,75.309998,75.027328,4600,73.013949,71.360787,66.041384,0.119002,0.031228,0.04799,TRUE,TRUE,5.319403,0.058999,53.812646,21.936125,76.0815,3.547895,0.853812,0.154361,6.440541,16.396888,23.766285,70.105804,3.436553,1.886005,92.564127,0.6821,0.580387,0.272837,2.768522,1.371955,-5.522812,0.507446,-232800,17.948718,-56395793.294625,-4.662164,64.55291,7.674953,11.9602,105.836385,0.096459,2.632573,0.522338,0.580387,2.175119
06-18-24,76.080002,76.290001,76.080002,75.165253,13000,73.130701,71.43941,66.108001,0.116004,0.03146,0.048174,TRUE,TRUE,5.331409,0.06575,73.933835,23.685434,76.818252,3.320636,0.910183,0.168586,6.059843,16.610863,24.352689,72.766369,3.20616,1.927817,104.128324,0.681242,0.580396,0.270834,2.713512,1.524733,-5.522812,1.361257,-219800,293.939394,-56522048.444489,-4.986436,72.504753,7.353012,10.773278,105.998436,0.097755,2.667633,0.520417,0.580396,1.953888
06-19-24,76.25,76.5,76.25,75.253937,7600,73.262726,71.521384,66.175208,0.113767,0.031923,0.04836,TRUE,TRUE,5.346176,0.072054,94.315385,25.495958,77.302378,5.501126,0.951051,0.167563,5.367134,16.131068,24.780312,71.288841,3.636373,1.969777,113.539013,0.679121,0.573506,0.268224,2.504453,1.703584,-5.522812,0.778689,-212200,123.529412,-56590209.08902,-5.144602,76.96003,7.933831,11.349579,106.613904,0.108262,2.958275,0.517903,0.573506,1.753768
06-20-24,76.379997,76.5,75.860001,75.047035,8500,73.411993,71.608678,66.242307,0.112114,0.032578,0.048548,TRUE,TRUE,5.36637,0.077424,82.933593,26.233239,73.448505,-2.632995,0.955726,0.137791,4.473971,15.358675,24.981084,61.046556,4.142761,1.960342,116.503364,0.678725,0.561563,0.258667,2.219939,1.720665,-5.522812,0.852558,-220700,97.674419,-56620303.502867,-5.1288,77.153351,6.884927,11.280761,105.961707,0.103411,2.809101,0.508594,0.561563,1.403429
