Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
06-17-24,21584.300781,21604.099609,21466.599609,21587.900391,283551500,22076.689941,22056.077969,20942.401992,-0.900092,12.094514,3.921491,FALSE,TRUE,1113.675977,0.715841,-30.846301,18.62333,36.831468,-8.683547,-109.952062,-69.506098,-1.141625,3.893871,7.791825,14.346633,-3.906007,1.089432,24716.698877,0.612176,0.988809,0.983187,1.626736,-1.351977,-3.917977,1.218543,5292348500,16.386357,7862233776.102534,0.03714,36.652716,0.092787,-0.542818,93.915677,0.000597,0.119429,0.991558,0.988809,-1.977568
06-18-24,21569,21708.099609,21567,21611.300781,222238400,22033.84502,22043.097969,20948.995498,-4.35679,11.536037,3.999975,FALSE,TRUE,1094.102471,-0.14871,-15.483034,19.316406,37.730017,-1.481074,-125.038907,-67.674355,-1.140403,5.271036,8.189575,17.114272,-3.813828,1.013126,24998.238843,0.609813,0.98971,0.982832,1.75247,-1.107467,-3.917977,0.963836,5514586900,-16.023163,7779546928.19201,0.033836,43.265531,0.152767,-0.566548,93.988651,0.001381,0.274274,0.991379,0.98971,-1.690296
06-19-24,21591.800781,21642,21491.599609,21516.900391,95798000,21992.35,22026.199961,20953.852998,-8.006149,10.94962,4.078388,FALSE,TRUE,1072.346963,-1.218144,-31.302116,20.215082,35.534073,-2.409793,-142.964656,-68.480083,-2.398648,4.336005,7.939628,5.949235,-3.713732,0.99752,26379.681212,0.611762,0.989101,0.983177,1.957033,-1.210622,-4.233979,0.428329,5418788900,-59.101844,7715979751.9567,0.030431,38.444321,0.168049,-0.445484,94.01053,0.002864,0.572958,0.991553,0.989101,-1.802333
06-20-24,21520.400391,21662.400391,21520.400391,21581.400391,274646100,21961.37998,22013.845977,20959.690996,-11.616533,10.338319,4.156804,FALSE,TRUE,1054.15498,-2.20871,-41.945668,20.914737,38.181496,1.350028,-150.23452,-60.599958,-2.290458,3.559573,9.250236,13.577857,-2.789991,0.941749,27419.081088,0.613078,0.989043,0.983404,1.973888,-1.020049,-4.233979,1.218648,5693435000,14.265619,7677297202.660926,0.050328,36.366544,0.120498,-0.518341,93.973889,0.001083,0.21764,0.991667,0.989043,-1.385822
06-21-24,21576,21586.400391,21499.599609,21554.900391,673563300,21923.07998,22002.741992,20966.330498,-15.135914,9.702459,4.235249,FALSE,TRUE,1036.411494,-2.894489,-37.11674,21.641762,37.500105,-0.229912,-156.332169,-53.358085,-1.952317,4.631371,9.382424,11.491507,-3.431761,0.873185,27482.667708,0.60138,0.992015,0.982754,2.129561,-1.484618,-4.233979,2.704827,5019871700,235.945147,7861988314.082554,0.062667,32.414566,0.023046,-0.574389,93.916165,0.001188,0.238872,0.991339,0.992015,-1.339679
06-24-24,21585.300781,21866.900391,21585.300781,21848.599609,258177200,21896.839941,22001.713984,20974.912998,-18.326377,9.06831,4.313863,FALSE,TRUE,1026.800986,-2.966582,-7.766041,20.598957,48.475057,12.940983,-135.898968,-26.339907,-0.427034,5.214852,11.581179,49.713666,-2.345646,0.869196,25381.846053,0.626927,0.991024,0.984179,2.157155,-0.96344,-4.233979,1.001217,5278048900,217.315242,8086608333.577765,0.097775,39.25826,0.074187,-0.570002,93.897701,0.00043,0.086593,0.992058,0.991024,-0.190058
06-25-24,21834.300781,21834.300781,21704.699219,21788.5,204190200,21873.009961,22002.68,20983.482002,-21.202617,8.429754,4.392592,FALSE,TRUE,1019.197998,-3.088487,-22.821877,19.630638,46.669104,8.487608,-123.135614,-10.861243,-0.565887,4.345061,12.206594,41.892273,-2.140568,0.852513,23938.709102,0.627615,0.991378,0.984162,2.218944,-1.113148,-4.233979,0.796139,5073858700,-11.967821,8146478195.10046,0.11852,38.989395,-0.03179,-0.686039,93.866977,-0.000048,-0.00961,0.99205,0.991378,-0.353026
06-26-24,21724.900391,21807.699219,21680.800781,21793.900391,193992600,21867.80498,22005.7,20991.5375,-23.498932,7.789631,4.471245,FALSE,TRUE,1014.1625,-3.36627,-29.337986,18.849708,46.860681,9.360575,-111.301781,0.778072,-1.416736,3.701959,11.26546,48.295738,-0.475384,0.858004,23994.619937,0.624619,0.995524,0.984976,1.637564,-0.897583,-4.233979,0.762128,5267851300,-16.628876,8298281614.561151,0.194512,33.455452,0.062679,-0.575646,93.890242,-0.002044,-0.423889,0.992459,0.995524,-0.308005
06-27-24,21798.400391,21956.699219,21798.400391,21942.199219,171009300,21861.32998,22011.421992,21000.132998,-25.085841,7.166168,4.549873,FALSE,TRUE,1011.288994,-3.321923,-4.597112,17.711127,51.963731,3.488674,-88.931757,18.518477,-1.014124,4.83912,11.194894,71.940688,-0.586724,0.831501,23586.710387,0.630693,0.99568,0.985544,1.643079,-0.67456,-4.233979,0.676482,5438860600,-16.979087,8437962383.840229,0.198367,38.994411,0.041996,-0.463813,93.901602,-0.003131,-0.655399,0.992746,0.99568,0.342859
06-28-24,21973.099609,22050.300781,21807.300781,21875.800781,276278900,21841.665039,22014.77,21008.1175,-26.03508,6.553094,4.628369,FALSE,TRUE,1006.6525,-3.479842,-13.727756,17.121119,49.664084,2.99498,-75.688658,25.40926,-1.395068,4.377244,10.378479,61.897052,-1.766119,0.863641,21560.583656,0.630902,0.996936,0.985863,1.233643,-0.686122,-4.233979,1.114314,5162581700,-26.009381,8317445662.02953,0.103684,46.263588,0.047202,-0.411223,93.900772,-0.004512,-0.954803,0.992906,0.996936,0.158325
