Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
01-22-24,17403.619141,17450.300781,17309.869141,17330.380859,5456240000,16775.699609,16323.708828,15027.833467,27.013093,29.258795,16.436815,TRUE,TRUE,1295.875361,41.987885,28.251513,27.708061,72.247948,13.804555,228.438543,35.978712,17.230796,12.347671,53.424994,90.015911,4.688977,1.30637,27194.594223,0.971872,-0.001262,0.000283,3.808782,4.21895,-10.455224,0.990344,64742410000,-13.320095,202437772420.509094,0.187943,56.552636,7.862268,8.393051,0,0.274047,4.439254,-0.016825,-0.001262,2.039675
01-23-24,17346.949219,17410.859375,17286.019531,17404.210938,5207680000,16808.039648,16365.528242,15050.018521,25.819556,30.154143,16.517545,TRUE,TRUE,1315.509722,41.394774,54.536889,28.437542,73.550036,8.277077,251.173146,46.970652,19.527193,12.663056,49.790564,96.16273,3.85979,1.199071,30598.518518,0.902731,-0.000852,0.000149,3.957099,5.390851,-10.455224,0.947447,69950090000,-4.719667,207090774779.781921,0.188193,63.961409,8.360052,8.486558,0,0.323765,5.646789,-0.012222,-0.000852,1.948367
01-24-24,17562.320312,17665.259766,17481.970703,17499.300781,4983210000,16844.134668,16411.75625,15072.202026,24.90435,31.009799,16.598086,TRUE,TRUE,1339.554224,40.328447,75.535786,29.762167,75.16616,3.202565,273.7083,55.604645,19.818425,12.453111,47.393066,88.280307,4.302814,1.220822,34257.215285,0.854984,-0.000572,0.000075,4.061568,6.446395,-10.455224,0.905072,74933300000,3.890464,203049895079.641266,0.147332,70.995931,8.202594,7.94588,0,0.365517,6.732076,-0.008673,-0.000572,1.912491
01-25-24,17589.269531,17631.339844,17430.369141,17516.990234,5281570000,16876.061133,16451.513652,15094.530825,24.309046,31.820391,16.678445,TRUE,TRUE,1356.982827,39.222832,86.467379,30.66777,75.466474,3.218526,289.655989,57.241867,18.792595,13.018238,47.864633,89.529501,3.783101,1.243223,37423.101897,0.855446,-0.00063,0.000091,3.691251,6.318875,-10.455224,0.966627,80214870000,-13.708297,202321181421.419952,0.120424,70.647644,6.407908,8.186988,0,0.358644,6.601778,-0.00955,-0.00063,1.712656
01-26-24,17432.869141,17514.759766,17395.539062,17421.009766,4510530000,16901.771582,16490.278047,15116.815122,23.949866,32.578048,16.758398,TRUE,TRUE,1373.462925,38.037319,74.321835,31.285181,70.485828,-3.064208,291.193132,47.023208,21.133683,12.64849,47.452105,81.438138,3.041433,1.231725,39361.56152,0.857714,-0.000931,0.000198,3.19889,5.795784,-10.455224,0.848572,75704340000,-39.700167,199737940349.517456,0.063393,71.025397,8.523643,6.941179,0,0.330366,6.06479,-0.014058,-0.000931,1.31915
01-29-24,17438.029297,17603.949219,17414.619141,17596.269531,4979310000,16936.661523,16525.954043,15140.554722,23.998129,33.287063,16.837744,TRUE,TRUE,1385.399321,37.093536,71.070151,32.106098,73.876232,-1.289928,303.059843,47.111935,24.71159,11.715752,46.009194,94.008816,4.129361,1.154541,42312.758705,0.86184,-0.000823,0.000153,3.260156,5.917827,-10.455224,0.937746,80683650000,-2.18561,204313304551.318634,0.145673,70.615635,11.036506,6.098242,0,0.338802,6.18992,-0.012379,-0.000823,1.558887
01-30-24,17556.490234,17578.460938,17443.769531,17476.710938,4719240000,16969.200586,16559.144668,15162.391328,24.410366,33.945675,16.916439,TRUE,TRUE,1396.75334,36.209102,56.104326,32.868377,68.126835,-7.339639,299.366012,34.734483,23.24537,10.913949,43.644991,82.917736,3.867728,1.14419,43889.323494,0.850744,-0.001369,0.000435,2.95285,5.23308,-10.233099,0.894849,75964410000,-13.266165,201902428631.246704,0.131965,63.918656,8.513256,5.70527,0,0.296442,5.486674,-0.020848,-0.001369,1.156341
01-31-24,17269.980469,17375.320312,17128.740234,17137.240234,5875610000,16998.865625,16585.226074,15182.679932,24.900739,34.541141,16.994485,TRUE,TRUE,1402.546143,35.043497,20.891745,31.642402,55.031049,-15.454779,265.980122,1.078875,19.543989,9.029327,43.860642,52.162157,3.586212,1.239938,42856.604007,0.87735,-0.002197,0.00105,2.777963,3.965001,-9.018882,1.113226,70088800000,1.458082,196431901518.556702,0.092225,56.720192,6.618533,4.324122,0,0.232694,4.176861,-0.032398,-0.002197,0.322878
02-01-24,17216.990234,17356.759766,17175.830078,17344.710938,5046920000,17047.67666,16615.360488,15203.964937,25.725388,35.080768,17.072001,TRUE,TRUE,1411.395552,34.399752,28.668781,30.503996,60.081465,-13.794767,253.342343,-9.247123,20.36763,12.842392,43.321862,70.958717,5.964024,1.200488,40809.529766,0.877436,-0.002245,0.001095,2.544829,3.965991,-9.018882,0.959882,75135720000,-7.395114,200806632531.985596,0.171758,56.809672,7.209425,6.138163,0,0.232678,4.176259,-0.033094,-0.002245,0.727855
02-02-24,17415.939453,17682.289062,17378.369141,17642.730469,4800690000,17115.712695,16647.673906,15226.719639,27.02701,35.568224,17.149304,TRUE,TRUE,1420.954268,34.213759,38.323137,30.561798,65.99016,-2.136675,264.327495,1.390423,20.305752,14.909854,42.704751,96.4705,8.357204,1.266902,38658.823923,0.897978,-0.002033,0.000858,2.461031,4.273331,-9.018882,0.917313,79936410000,-9.236334,204357595009.958954,0.253075,56.83838,8.462104,7.573633,0,0.255921,4.487995,-0.029296,-0.002033,1.363254
02-05-24,17634.689453,17655.769531,17469.619141,17613.039062,4831020000,17181.065625,16681.262285,15249.341284,28.785073,36.008346,17.22629,TRUE,TRUE,1431.921001,34.079979,36.547249,30.615471,64.95853,9.927481,267.553271,3.692959,18.053422,15.306916,37.568124,93.821371,8.015823,1.276098,35137.36949,0.895216,-0.002118,0.000937,2.132035,3.961631,-9.018882,0.926666,75105390000,-7.67846,206970712071.93631,0.295002,64.660243,10.64562,9.624773,0,0.237148,4.171638,-0.030607,-0.002118,1.229385
02-06-24,17664.439453,17680.619141,17475.429688,17572.730469,4759640000,17227.208691,16712.689102,15272.275034,30.752223,36.394499,17.302757,TRUE,TRUE,1440.414067,33.780547,40.089284,30.744441,63.507026,3.425562,263.816048,-0.035411,16.379627,14.050506,39.761607,87.321929,5.542754,1.252998,33829.712798,0.897119,-0.002192,0.000999,1.634414,3.852534,-9.018882,0.927005,70345750000,-24.900399,206725111983.98407,0.237589,64.804821,9.424352,,0,0.231264,4.059606,-0.031611,-0.002192,1.021356
02-07-24,17674.589844,17784.169922,17637.730469,17755.070312,4567580000,17281.027246,16748.150313,15296.046538,32.989548,36.727322,17.378763,TRUE,TRUE,1452.103774,33.44203,38.203527,31.189996,67.089515,1.099355,272.427202,6.860594,17.157062,16.250982,42.444995,96.079912,6.453567,1.220312,33200.352741,0.892213,-0.001848,0.000718,1.812928,4.42413,-9.018882,0.893958,74913330000,-9.881403,209477405311.537842,0.232281,64.415195,9.744239,9.932792,0,0.263253,4.64615,-0.026798,-0.001848,1.427825
02-08-24,17757.599609,17814.119141,17728.550781,17783.169922,5675850000,17330.533203,16784.574102,15320.113589,35.381261,37.018966,17.454106,TRUE,TRUE,1464.460513,33.585256,27.290181,31.696406,67.617102,2.658572,278.310814,10.195365,16.260115,17.756002,39.713964,95.484364,5.896005,1.118228,32921.836802,0.853471,-0.002243,0.001156,1.817988,3.977556,-9.018882,1.097217,80589180000,28.862164,211047459091.410461,0.218956,64.540281,8.056969,11.955109,0,0.227223,4.19298,-0.033996,-0.002243,1.374883
02-09-24,17820.980469,17987.900391,17798.810547,17962.410156,5797260000,17387.608691,16823.613711,15346.300088,37.921374,37.274796,17.528878,TRUE,TRUE,1477.313623,33.818534,33.581982,32.6692,70.829465,7.322439,294.047214,20.745412,17.299865,18.729594,43.752413,97.033122,6.786258,1.132638,33511.196841,0.856428,-0.001981,0.000895,2.534318,4.367366,-9.018882,1.112594,86386440000,14.918062,215281721172.514435,0.236379,64.799985,8.510165,12.978961,0,0.249775,4.592793,-0.029924,-0.001981,1.715252
