Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore
06-12-24,2065.790039,2088.530029,2052.169922,2057.100098,3962840000,2063.919495,2038.293191,1934.077748,2.12737,0.113254,0.537505,TRUE,TRUE,104.215443,0.054286,-9.098245,12.428466,51.426994,7.191471,-2.588462,-4.267393,-0.705208,9.206449,9.816846,60.519668,-1.370762,1.529129,2660.024705,1.085283,0.000062,0.000001,1.248535,0.239234,-8.547226,1.043906,-21275160000,-16.809626,87732053347.796631,-0.067166,52.169229,-0.357408,0.745243,0,0.036217,0.525442,0.00074,0.000062,-0.256366
06-13-24,2053.530029,2053.570068,2025.640015,2038.910034,3530380000,2060.391998,2037.547393,1934.927249,1.578999,0.081899,0.545101,TRUE,TRUE,102.620144,0.02595,-3.719895,11.878936,47.638363,2.226506,-3.12959,-3.846817,0.380566,8.379446,7.518738,39.825436,-3.344454,1.478837,2486.443683,1.089541,-0.000074,0.000001,1.281665,-0.107992,-8.547226,0.940271,-24805540000,-19.043022,87556354440.614471,-0.108654,52.540101,1.340778,0.879297,0,0.011815,0.170727,-0.000881,-0.000074,-0.863963
06-14-24,2020.189941,2020.189941,1999.02002,2006.160034,3438650000,2055.8875,2036.593992,1935.480349,1.028995,0.051567,0.552747,FALSE,TRUE,101.113643,0.010137,-23.798041,11.493829,41.684155,-2.29423,-6.130422,-5.478119,-1.626028,3.011539,7.046586,7.976778,-4.297673,1.567316,2615.345776,1.079615,-0.000822,0.000097,1.524696,-0.974157,-8.547226,0.920483,-28244190000,-9.923326,86437222813.504044,-0.076896,46.514914,-0.453934,-2.349779,0,-0.049315,-0.719095,-0.009835,-0.000822,-1.901373
06-17-24,2002.569946,2024.910034,1993.22998,2022.01001,3447840000,2052.202002,2035.764792,1936.074349,0.503227,0.023968,0.560372,FALSE,TRUE,99.690444,0.064263,-16.020016,11.299772,45.2507,-6.176294,-7.147252,-5.19596,-0.134831,1.074726,7.025427,30.199386,-3.517167,1.565946,2542.839731,1.073982,-0.000918,0.000122,1.645858,-1.065788,-8.547226,0.924555,-24796350000,-3.641018,89253825236.256561,-0.028298,46.10752,1.099581,-3.361962,0,-0.055439,-0.812645,-0.011047,-0.000918,-1.187334
06-18-24,2022.089966,2033.550049,2020.819946,2025.22998,3544330000,2048.338501,2034.795193,1936.702098,0.00554,-0.001138,0.567967,FALSE,TRUE,98.093094,0.082904,-4.341263,10.825435,45.973595,-1.664768,-7.605601,-4.523446,-0.514807,2.020018,7.985199,33.578157,-3.67515,1.500007,2315.227958,1.062479,-0.00073,0.000079,1.689045,-0.722509,-8.547226,0.948849,-21252020000,3.63235,88165188958.460144,-0.043757,52.77321,0.778362,-3.817567,0,-0.030957,-0.458698,-0.008882,-0.00073,-0.99811
06-20-24,2021.910034,2033.280029,2012.51001,2017.390015,3847060000,2044.289996,2033.526992,1937.184899,-0.48178,-0.023946,0.575542,FALSE,TRUE,96.342094,0.094952,-16.345025,10.641937,44.43519,2.751035,-8.503443,-4.337031,-2.770756,1.764004,8.072538,25.351544,-3.858732,1.483778,2091.634069,1.0633,-0.00081,0.000097,1.812725,-0.844213,-8.547226,1.027351,-25099080000,5.046638,86125895345.605453,-0.077976,45.553707,-0.534234,-3.37256,0,-0.039422,-0.583684,-0.009846,-0.00081,-1.286075
06-21-24,2016.349976,2022.26001,2006.849976,2022.030029,6773800000,2041.306,2033.399792,1937.892799,-0.937694,-0.045639,0.583079,FALSE,TRUE,95.506993,0.110983,-20.822425,10.648031,45.595534,0.344834,-8.739831,-3.658735,-3.646788,0.053444,8.53565,30.220393,-2.866871,1.44201,1950.646386,1.063676,-0.000741,0.000081,1.651892,-0.738736,-8.547226,1.740901,-18325280000,76.074112,92697509979.751801,0.031066,34.402355,-1.175909,-3.960563,0,-0.032135,-0.475619,-0.009005,-0.000741,-0.988184
06-24-24,2023.22998,2043.099976,2023.22998,2030.810059,3696750000,2040.426007,2033.163994,1938.675449,-1.336163,-0.06499,0.59061,FALSE,TRUE,94.488545,0.218979,-12.588773,9.890584,47.816202,1.842607,-8.125035,-2.435151,-1.987932,2.419262,9.881613,39.43343,-0.859196,1.368878,1956.601778,1.026945,-0.001183,0.000221,1.705603,-1.20324,-8.547226,0.952198,-14628530000,-4.464895,91821259294.757172,0.054187,33.897387,-1.367754,-4.240962,0,-0.061707,-0.945987,-0.014882,-0.001183,-0.491462
06-25-24,2029.660034,2029.660034,2017.650024,2022.349976,3591960000,2038.06001,2033.547593,1939.508399,-1.691732,-0.079966,0.598139,FALSE,TRUE,94.039194,0.335038,-5.465665,9.380499,45.873208,1.438017,-8.225643,-2.028607,-2.497876,0.262259,11.018701,30.556118,-2.286352,1.323815,1868.482283,1.025425,-0.001344,0.000287,1.745837,-1.43698,-8.547226,0.918271,-18220490000,19.512495,91040627002.357849,0.008485,33.987943,-1.755438,-5.26614,0,-0.077232,-1.185756,-0.01694,-0.001344,-0.840791
06-26-24,2014.180054,2020.390015,2010.359985,2018.119995,3563920000,2035.623505,2034.395793,1940.341299,-2.010065,-0.092073,0.605652,FALSE,TRUE,94.054495,0.413045,-24.550613,9.161694,44.890998,-0.704536,-8.548161,-1.880901,-2.513811,-0.778775,10.687449,26.117526,-2.357699,1.263093,1789.344684,1.018073,-0.001194,0.00023,1.543391,-1.236154,-8.547226,0.913293,-21784410000,-5.001146,92991357694.858398,0.050767,27.294738,-1.979714,-5.809875,0,-0.0632,-0.977322,-0.015149,-0.001194,-0.978208
